tblID,IRN,IncidentNumber,IncidentDate,TimeofIncident,BusinessUnit,BusinessGroup,ServiceLine,Project,Office,Country,IncidentType,IsNearMiss,OSHAClassification,ShortDescription,ActualRating,PotentialRating,IncidentAssignedTo,Status,NeedIRP,ContractorName,WeatherConditions,FullDescription,ImmediateAction,HazardSource,IPOccupation,AgeProfile,Gender,DaysSinceOff,InjuryType,BodyPart,CauseOfInjuryIncident,WorkActivities,LSRBreached,BusinessUnitID,BusinessGroupID,ServiceLineID,ProjectID,OfficeID,CountryID,OtherIncidentAssignedTo,OtherInjuryType,OtherCauseofInjuryIncident,OtherHazardSource,OtherLSRBreached,IsWorkRelated,DateCreated,AuditDate,WasUpdated,DayofWeek,CreatedTimeStamp,LateReporting,JFCAction,OHdefinition,MTCcount,RWCcount,LTIcount,FAcount,lastUpdate,TransferTimeStamp,SourceFileName
31886,75828,20224757,2022-11-07 00:00:00.000,10:00,Operations,Asia Pacific,APAC East,Esso PNG LNG,LNG PoM,Papua New Guinea,Occupational Health,No,,Person tested positive to Covid 19 in camp,B3,B5,Wood,Closed,No,,Not Applicable,Person tested positive to covid 19 in camp.  Required to isolate for at least five days.,Isolate for at least five days,Other,,,,,,,,Non Work Related,,13712,13724,13726,20056200,11246,133,,,,N/A,,No,2022-11-07 00:00:00.000,NULL,0,Monday,2022-11-07 02:30:24.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31887,75827,20224756,2022-11-07 00:00:00.000,11:15,Operations,Asia Pacific,APAC East,Cooper Energy,Otway Basin,Australia,Injury,No,First Aid,Scaffolder struck thumb with hammer causing minor sluice of skin from nail,B1,B1,Wood,Cancel,No,,Clear/Sunny,"Scaffolder struck thumb with hammer while punching down a nail, causing minor sluice of skin from nail. IP was wearing gloves (EN388 - 4,4,4,4,E)","Reviewed the injury, applied a band aid and IP returned to work. Reviewed mechanism of injury and work method, no issues. ",Hand tool,Scaffolder,30-34,Male,2,Cut/Laceration,Fingers/Thumb,Contact with tool/equipment/machinery,"Scaffolding ",,13712,13724,13726,20059521,17106,212,,,,,,Yes,2022-11-07 00:00:00.000,NULL,0,Monday,2022-11-07 00:17:14.000,No,,,NULL,NULL,NULL,1,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31889,75833,20224762,2022-11-07 00:00:00.000,15:30,Operations,Asia Pacific,APAC East,Esso - Retro Fit,Long Island Point (LIP),Australia,Injury,No,First Aid,IP reported eye irritation,B1,B1,Wood,Initiated,No,,Clear/Sunny,Whilst working on the Ethane Disposition project IP experienced an eye irritation linkened to dust in eye.,Immediate care management was provided and the IP was taken to the guard house as per the site protocols.  Eye was flushed no foreign object found. IP taken to optometrist for further care. Drug and Alcohol testing has been arranged.,Dust,Mechanical Technician / Fitter / Engineer,45-49,Male,1,Irritation/Rash/Allergic Reaction,Eye,Other (please state),"Normal Operations ",,13712,13724,13726,20056199,11228,212,,,Environmental dust,,,Yes,2022-11-07 00:00:00.000,NULL,0,Monday,2022-11-07 21:06:56.000,No,,,NULL,NULL,NULL,1,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31891,75831,20224760,2022-11-07 00:00:00.000,13:30,Projects,Process & Chemicals,APAC,EM Crisp,EM Crisp,Singapore,Occupational Health,No,,Wood employee tested Antigen Rapid Test (ART) positive at an external Clinic.,B3,B5,Wood,Closed,No,,Not Applicable,"Wood employee was not feeling well and went to clinic, where Antigen Rapid Test (ART) was conducted. The test result was positive. He was given medical leave as per MOH protocol.",Self-isolation to be carried out at his residence as per MOH guidelines. Disinfection was carried at his desk.,Other,,,,,,,,Non Work Related,,13695,13700,13701,20055941,7958,161,,,,Covid 19,,No,2022-11-07 00:00:00.000,NULL,0,Monday,2022-11-07 11:11:38.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31888,75826,20224755,2022-11-06 00:00:00.000,09:30,Operations,Americas,Canada & LATAM,T&T - Massy Wood - Shell,Dolphin,Trinidad And Tobago,Occupational Health,No,,One (1) Massy Wood employee tested positive for COVID-19.,B3,B5,Wood,Sent for Review,No,,Not Applicable,"One (1) Massy Wood employee tested positive for COVID-19 during round of antigen testing on site. ","Employee taken to quarantine location to await demobilization from installation. ",Other,,,,,,,,Non Work Related,,13712,13713,13714,20056402,13528,185,,,,Infectious disease,,No,2022-11-06 00:00:00.000,NULL,0,Sunday,2022-11-06 17:24:55.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-06 00:00:00.000,NULL,CAIRS_Incidents.csv
31881,75825,20224754,2022-11-06 00:00:00.000,11:15,Operations,Asia Pacific,APAC East,Esso PNG LNG,LNG PoM,Papua New Guinea,Occupational Health,No,,NWR - person tested positive to Covid 19 in camp,B3,B5,Wood,Closed,No,,Not Applicable,Person tested positive to Covid 19 in camp.  Required to isolate for at least five days.,"  Required to isolate for at least five days.",Other,,,,,,,,Non Work Related,,13712,13724,13726,20056200,11246,133,,,,N/A,,No,2022-11-06 00:00:00.000,NULL,0,Sunday,2022-11-06 01:26:34.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-06 00:00:00.000,NULL,CAIRS_Incidents.csv
31883,75823,20224752,2022-11-05 00:00:00.000,10:15,Operations,"Europe, Middle East & Africa (EMEA)",Middle East & Africa,MEGPL,Punta Europa,Equatorial Guinea,Occupational Health,No,,IP tested positive for COVID-19. Symptomatic.,B3,B5,Wood,Sent for Review,No,,Not Applicable,"Presented to PEC with symptoms, tested Antigen positive. Sent home for self-isolation and will be checked after 3 days","Sent home for self-isolation and will be checked after 3 days. ",Other,,,,,,,,Non Work Related,,13712,13718,13719,20056284,11427,28,,,,Biological,,No,2022-11-05 00:00:00.000,NULL,0,Saturday,2022-11-05 09:36:39.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31884,75822,20224751,2022-11-05 00:00:00.000,10:15,Operations,"Europe, Middle East & Africa (EMEA)",Middle East & Africa,EG-LNG,Punta Europa,Equatorial Guinea,Occupational Health,No,,IP tested positive for COVID-19 when conducting test to travel,B3,B5,Wood,Sent for Review,No,,Not Applicable,Presented to PEC for PCR test for travel; tested PCR positive. Sent home for self-isolation and will be checked after 3 days,"IP was put in isolation, was given meds and will be checked in 3 days.",Other,,,,,,,,Non Work Related,,13712,13718,13719,20056281,11400,28,,,,COVID virus,,No,2022-11-05 00:00:00.000,NULL,0,Saturday,2022-11-05 09:30:56.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
31885,75821,20224750,2022-11-05 00:00:00.000,16:45,Operations,Asia Pacific,APAC East,Esso PNG LNG,LNG PoM,Papua New Guinea,Occupational Health,No,,Person tested positive to Covid 19 in camp,B3,B5,Wood,Closed,No,,Not Applicable,Person tested positive to Covid 19 in camp.  Required to isolate for at least five days.," Required to isolate for at least five days",Other,,,,,,,,Non Work Related,,13712,13724,13726,20056200,11246,133,,,,N/A,,No,2022-11-05 00:00:00.000,NULL,0,Saturday,2022-11-05 07:39:33.000,No,,Non-Discrete,NULL,NULL,NULL,NULL,2022-11-05 00:00:00.000,NULL,CAIRS_Incidents.csv
31882,75824,20224753,2022-11-04 00:00:00.000,14:30,Projects,Process & Chemicals,Mining & Minerals,Côté Project,Côté Project Site,Canada,Asset Damage,No,,CP-2022-0093 PD Scott Steel; knuckle boom contacted wall,A1,A1,Managed Contractor,Initiated,No,Scott Steel,Not Applicable,Operator was skimming 2-3 inches of dirt off the ground inside the truck wash and the top of the knuckle made contact with the wall panel resulting in minor damage.,"Work stopped, scene frozen, supervisor and Wood HSSE contacted. Canadian model followed and investigation initiated.",,,,,,,,,"Operating Equipment/Machinery ",None,13695,13700,13732,20059233,16031,1,,,,,,Yes,2022-11-05 00:00:00.000,NULL,0,Friday,2022-11-05 21:59:06.000,Yes,,,NULL,NULL,NULL,NULL,2022-11-07 00:00:00.000,NULL,CAIRS_Incidents.csv
