group	keyword	rules_pre	rules_post	rules_all	voids
slips & trips	slip*	walking (.*) snow_ walking (.*) ice_ walking (.*) wet_ causing.*cleaner to_ walking when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	fall_ fell_ went over_ hurt.*_ and twist.*	fall_ fell_ trip_ tripped_ individual slipped_ ip slipped_ slipped on_ hurting foot	fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ falling object_ dropped object
slips & trips	trip*	walking (.*) snow_ walking (.*) ice_ walking (.*) wet_ causing.*cleaner to_ walking when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	fall_ fell_ went over_ frayed_ loose_ hazard__ and twist.*	fall_ fell_ trip_ tripped_ individual slipped_ ip slipped_ tripped on_ hurting foot	fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ generator_ power_ electricity_ falling object_ dropped object
slips & trips	stumble*	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	floor_ and twist.*	hurting foot	
slips & trips	uneven	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when	_ and twist.*	employee.* uneven.* surface_ ip.* uneven.* surface_ worker.* uneven.* surface_ hurting foot	
slips & trips	fell	causing.*cleaner to_ causing.*ip to_ causing.*employee to_causing.*worker to_ walking.*when_ climbing.* when_ lady_ man_ wroker_ employee_ ip	_ and twist.*	employee fell back.*_ ip fell back.*_ worked fell back.*_ employee fell over_ ip fell over_ worked fell over*	straps_ drop.*_ fell (.*) bike_ no slip_ no fall_ it slipped_ it fell board slipped_ tool_slipped plank slipped_ pipe slipped_ chisel slipped_ knife slipped_ hand slipped_ falling object_ dropped object
eye injury or irritation	eye*	something.*in_ swell.*_ swollen_ dust.*in_ particle.*in_ discomfort		irritation_ foreign body_ foreign object_ irritation (.*) eye_ pain in (.*) eye_ fell (.*) eye_ fall (.*) eye_ debris (.*) eye_ pain to	
eye injury or irritation	weld*			exposed.*weld.*arc	
eye injury or irritation	flash	arc.*			
vehicle Incident involving animal	vehicle*	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	driv*	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	car	animal.*front.*of		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel	
vehicle Incident involving animal	struck*		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel		
vehicle Incident involving animal	collided*		animal_ deer_ dog_ cat_ bird_ cow_ horse_ hog_ kangaroo_ antelope_ camel		
theft	theft*	car_ trailer_ bucket_ van_ equipment_ tools_ dumper_ excavator_ ppe	of.*property_ of.*equipment_ of.*plant_ of.*personal	break in_ broke in_ stolen_ broken_ overnight_ was stolen	
theft	stole*		of.*property_ of.*equipment_ of.*plant_ of.*personal	theft_ broke*_ overnight_ break in_ broke in_ was stolen_ stole.* from.*_ equip.*stole.*from	
theft	padlock		of property_ of equipment_ of plant_ of personal_ found.* cut	_ was stolen_ equip.*stole.*from	
theft	missing		of property_ of equipment_ of plant_ of personal	money missing_ taken from_ was stolen_ equip.*stole.*from	
theft	rob*			employee.*rob.*while_ worker.*rob.*while_ vehicle.*rob.*while_ equip.*stole.*from	
theft	access*			access.*unlocked.*suspic.*	
theft	entry	forced			
competency	train*			lack (.*) training_ lack (.*) competency	
covid	covid*			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	pcr			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	rt-pcr			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	coronavirus			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
covid	symptoms			covid_ test*_ positive_ negative_ pcr test_ pcr_ antigen_ diagnosed.* covid.*	
back injury	back	hurt_ twisted_ soreness in_ sudden pinch_ strain.*_ irritation to_ discomfort to_ contusion to	pain_ discomfort_ muscle spasm_ strain.*_ twinge	discomfort (.*) back_ landed (.*) back_ severe (.*) pain_ pain in (.*) area_ felt pain (.*) lower_ felt pain (.*) upper_ experienced pain (.*) lower_ experienced pain (.*) upper_ pain (.*) lower_ experienced pain (.*) upper_ reported.* back injury_ reported.* back condition_ injur.* back_ pain to	vehicle_ truck_ car_ back side_ reversed back_ back of_ back off
fall from or working at height issue	height			working (.*) fell	object_ weighing
