category,text,dset
covid,employee was tested with covid'19 positive employee was tested with covid'19 positive and under home quarantine as per medical advice. employee was tested with covid'19 positive and under home quarantine as per medical advice.,ORGP
"bites (animals or insects), general illness or health issue","commissioning technician was pulling t-posts near pcs-14 when they were stung by a wasp on their left gloved pinky.  on 06.02.2021 at approximately 13:45, a commissioning technician was tasked to pull t-posted from the ground near pcs-14. the technician noticed a wasp that was in the work area although lost sight of the insect after some time. as the technician went to pull a t-post, a wasp stung their left gloved pinky. the actual severity rating is a b1 as first aid, as sting relief and hydrocortisone ointment were provided. the potential severity rating is a b2 as there could have been medical treatment had the technician had an allergic reaction to the sting. the technician informed their supervisor, who escorted them to the on-site medic. first-aid was administered in the form of sting-relief topical and hydrocortisone ointment was applied. the employers workcare was notified.  no follow-up was needed, and self-care was sufficient. investigation protocols were initiated.",ORGP
covid,one wood employee tested positive for covid-19 one wood employee tested positive for covid-19 on the hibernia platform.  employee is self isolating. ,ORGP
"vehicle incident general, vehicle Incident involving animal","wood vehicle sruck a cow on the road.  on august 24, 2020 at 10:55 pm, a wood ee was traveling to his next location on hwy 652 near orla, tx when his vehicle struck a cow on the road. the impact from the incident caused damage to the passenger side front end and side door on the wood vehicle. actual (b1): no injuries, unsure of damage cost. potential (b2): damage to the vehicle could be over 10k, but will not exceed 100k. wood ee notified his client supervisor and wood account manager of the incident. ",ORGP
vehicle incident general,wood vehicle came into contact with another vehicle when exiting a parking bay. wood operative when pulling out of a parking bay outside of the central workshop on site was interrupted by a hertel van commencing a reverse parking manoeuvre into the bay next to him. the wood driver waited for the vehicle in the next parking bay to stop and then started to pull forward. as he did pull away the passenger in the front seat of the stationary van opened their door and it came into contact with a hinge on the drop side the wood van resulting in a peeling effect to the hertel van door.   our driver self presented at security / tfs for d&a testing.,ORGP
slips & trips,"amecfw employee slipped on office staircase while walking down the office staircase an amecfw employee misplaced their foot and their heel slipped off the edge of the tread. the individual was holding the handrail during the decent, however let go when slipping downwards.  the individual slipped onto their bottom and bumped down the remaining 6 stair treads. the individual involved did not require any first aid treatment.  individual reported the slip to the office management (hertel), their amecfw line manager and the hsse advisor. the stair treads were inspected and appear to be in good condition. the individual’s footwear also appears to be in sound condition.",ORGP
covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is first of two positive results for 10th of july.,ORGP
covid,a wood employee tested positive for covid-19. a wood employee received a positive covid-19 test result on 10/16/2021.  the wood employee was experiencing symptoms and scheduled a covid 19 test which was a positive result.  contact tracing has been completed. employee has self quarantined and has notified management.  wood on site management has conducted contact tracing and notification to client.  ,ORGP
*** Not Classified,"trebel 10 -test machine not in control when a servo electric test machine - trebel 10, was turned back on it started applying load upto approx. 2 tonnes, when it shouldn't have done. the emergency stop was hit. when the machine was re-set to load at 0.1 tonne it continued to apply 2 tonnes. it was fully shutdown and restarted and again did the same. random pushing of the buttons caused the machine to stop. this was alerted to hsse by heart - first thing on 01/02 hsse manager conducted immediate investigation with lab owner and technical experts.  fault could not be replicated exactly but a fault condition was ascertained so immediate action has been set up to instigate a technical investigation.  until the fault is ascertained then all similar test machines are off line - this has been communicated to all relevant staff members.",ORGP
back injury,"acute back pain experienced when egressing from scaffold worksite ip was destructing scaffold platform on qu cellar deck, due to access restrictions he had to crawl on his stomach under some cable tray, when he was 'backing out' from under tray he felt discomfort in his lower back, ip exited worksite and reported to floatel medic for assistance. ip was treated with prescription strength medication) ip reported to medic",ORGP
hand or arm injury,"cp-2022-0028 fa scott steel; abrasion left index finger from zoomboom door ip was closing the top half of zoom boom door when ip placed hand in between top & bottom half. this caused ip’s left index finger to become pinched resulting in an abrasion. work stopped and supervisor was contacted. ip was taken to onsite pa who assessed, cleaned, bandaged, and gave otc’s. ip returned to work. incident investigation initiated.",ORGP
"bites (animals or insects), general illness or health issue, general injury","flagger received a bee sting on the back of the neck.  on october 23rd, 2020 at approximately at 3:30 est, an employee was flagging on the main road by pcs-11 when they felt a sting on the back of the neck. the employee notified their general foreman who brought the employee to the safety office to see the on-site medic for evaluation. the actual is a b1 as first aid treatment (benadryl and cortisone) were provided.  the potential is a b1 as no potential of a medical treatment would have been needed. medic removed the stinger and the employee was monitored. the employee showed no signs of an allergic reaction and was released by the medic to return to full work duty.",ORGP
eye injury or irritation,"staple penetrated 110v cable a series of 110v cables had been installed for lighting of the redundant fabrication workshop which had been build approx. 10 months previously. temporary lighting electrical technicians were removing/re-routing tl cabling from the area. on moving a 110v cable, an arc flash was observed when the cable touched a scaffold tube, where cable had previously been stapled to a wooden scaffold board. the electrical technician was holding the cable approximately 30cm away from arc flash and immediately stepped back.closer inspection observed a staple penetrating the cable stopped job",ORGP
hazardous materials or work,"pig launcher tray supplied by third party found to have small deposits of norm contaminated material  to facilitate removal of an intelligent pig from the cats pig receiver, a pig launcher tray was supplied to site by a third party vendor (pii). prior to the removal of the pig a small amount of brown material was observed on the tray prior to use. due to the likelihood of naturally occurring radioactive material (norm) contamination being expected on the pig following removal, the cats rps was already present at the job site and tested the material for the presence of norm. readings in the range of 9 to 12 counts above background radiation levels were recorded indicating the material on the tray was norm contaminated. the material was safely removed from the tray and disposed of in line with the cats norm procedures utilising an approved cleaning contractor. a follow up investigation will be required to determine why pii allowed the contaminated tray to be delivered to cats.  the appropriate controls were implemented for the handling of the contaminated waste. ",ORGP
