category,text,dset,scores
hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was manually transporting a truck body onto a transfer table. as he was setting it down, he pinched his finger between the truck body and the transfer table, sustaining an avulsion to the pinky finger.",OSHA,1
"lifting or moving loads, fall from or working at height issue, back injury, vehicle incident general",pedestrian struck by vehicle backing up in nonroadway area the employee was working from a scissor lift to fix an overhead garage door. a trailer backed into the scissor lift and knocked it over. the employee struck the concrete garage floor and suffered three or four fractured vertebrae.,OSHA,1
"lifting or moving loads, dropped object or material, slips & trips, foot or leg injury, vehicle incident general","struck by object falling from vehicle or machinery-other than vehicle part an employee was attaching skid steer forks to a truck when the forks fell off and landed on the employee's foot, causing a possible fracture to the foot/ankle that required surgery.",OSHA,2
foot or leg injury,"fall or jump from and struck by same vehicle in normal operation, roadway an employee riding in the passenger side of a sanitation truck jumped out of the truck and their right foot was run over by the truck.",OSHA,2
"foot or leg injury, vehicle incident general","collision between a moving and standing vehicle, nonroadway an employee was reversing a powered industrial truck when it collided with another parked powered industrial truck. the employee suffered a lacerated artery in the right leg and required surgery.",OSHA,1
"lifting or moving loads, general injury","contact with objects and equipment, unspecified an employee was moving a piece of debris from a motorized chain and steel pan when a piece of lumber struck him in the chest. he suffered a left rib fracture, right rib fracture, left transverse process fracture, left scapula fracture, and left collapsed lung.",OSHA,1
"back injury, competency","ip was lifting a large plastic storage box with handles from the floor to move it out of the way so as to access equipment stored behind.  when he lifted the box he immediately felt a twinge in his lower back. the plastic boxes are stored on the floor and stacked one on top of the other, mostly 3 to 4 boxes high. the boxes have to be accessed at least once a week to access the equipment in the that room.  the boxes are estimated to between 10-15kg. when the ip was asked if he had received manual handling training, he said that he had attended a course some years ago but had no follow-up or refreshers since. suggested immediate corrective action is to rearrange the shelving in a more appropriate (easy-to-access) way.  the storage boxes should be stored at a more accessible height (not at floor level). when he has recovered, the id should attend a refresher training course in manual handling/lifting before being asked to perform such lifting activities again.",MANF,1
general illness or health issue,"exposure to other harmful substances, unspecified an employee suffered an allergic reaction in the store. at the hospital, she was given medication. the employee reacted badly to the medication and was hospitalized.",OSHA,1
"hand or arm injury, line of fire, vehicle incident general","pvc water line damage by debris (rock) pvc water line had been exposed by prior hand digging as the crew was preparing a path for a storm sewer line.  the prior contractor had placed large rocks as part of the back-fill that could not be removed by hand.  during removal of debris, rocks, by excavator, a rock shifted and made contacted with pvc resulting in a break and loss of containment.  no one was in the line of fire. owner of water line contacted for repairs.regional operations and safety notifications were completed.area secured and investigation underway.",ORGP,2
"lifting or moving loads, foot or leg injury, general injury",minor cut to lip from maintenance activities in mechanical workshop. migrated from legacy cairs incident #39726wood employee reported to first aid with minor cut to lip as a result of maintenance activities in mechanical workshop. while disassembling the pump1bg32 afitter was struck on the lip and subsequently received a cut from a shard of metal. because the back plate to water jacket was seized this was stopping the bearing housing removal from the seal that had failed. the fitter was using a chisel to remove rust scale that was locking the components together. when hitting the side of one of the fastening nuts with a hammer and chisel a shard of metal was released and this flew up contacting him on the lip. this was enough to break the skin and the lip began to bleed. the cut cleaned by onsite first aid and was later clearedto returned to work on normal duties. migrated from legacy cairs - see detailed description,ORGP,3
