index,text,group,scores
4327,crew spotted spillage from crane outriggers spill kit deployed on scene incident 36219backhoe two crew reported an oil leak to the crane operator who had reported the oil spill to wpa operator wood environmental advisor mathen kelly raised the alarm and wood safety crew responded the spill response was initiated notifications were made and spill kits deployed incident 33872backfilling truck siemens hydraulic system had become infected with the virus a repair of the sieve hose on the hydraulic pumps and thus effected the pump with no interruption the pumps were shut down by crane technician and hydraulic line being replaced by new equipment see detailed description,hydraulic fluid or oil leak,1
2510,"apprentice was discharge from january 12th three thousand and thirty-four after seven hundred and eighty-five hours of operations at the moro tank b eight hundred pm on jan jan eight two thousand, twenty-two at one thousand pm at wellpad b sixteen thousand block one hundred the operator was tasked with lowering the concrete to ground the platform is a sixty ton bock which was raised from the bayside section of the tank twenty high the elevation was determined to be twelve thousand feet it was during this raising that the spill was noticed the incident was immediately contained at bay forty-eight clean up activities commenced at this time and no persons injured spill kits and absorbent pads were utilised by the supervisor in the process of cleaning and disposing of any contaminated soil the actual severity rating selected was an a1 due to minimal reversible environmental impact the potential severity grading was also an anA due for minimal environmental environmental and short term impacts the investigation protocol was initiated to acquire environmental samples the contaminated material was bagged and prepared for appropriate environmental disposal",hydraulic fluid or oil leak,1
3664,cleaner spotted leak from an ibc whilst draining fuel from the drip tray a cat d7100 was tasked by a wpa to clean up an estimated 1l of diesel that ran out of control the machine began to leak which contributed to a loss of approx eight litres of fuel on to the caliche concrete pile the ibeployed cleanup team were notified and the leak was reported and confirmed with the hse team to be checked the remainder of the plant was inoperable and moved to nearby waste bin for disposal,hydraulic fluid or oil leak,1
2532,apprentice was flowhandler working on a boom forklift when a hydraulic line ruptured resulting in 10l of hydraulic fluid lost to grade spill kit and tray placed on snow plowed down and cleaned up spill immediately per client protocol incident 38397approx one quart of oil leaked from grader onto concrete when graders jack into it approx 10ml of free hydraulic oil which was on pad to hard standing approx 12l contained in absorbent pads and bag used for clean up,hydraulic fluid or oil leak,1
3975,crew discovered spillage of limestone from a crane during the cleaning of a road the crew was on the job for the crane when they noticed that there was oil dripping from the outriggers that they placed in place around the wpa a crew immediately stopped the spill and cleaned up the oil spill area incident 37724on wednesday may nine two thousand and sixteen at dow freeport united king oyster creek a hydraulic line broke loose from under a wheel bed to inside a hole approximately three feet long with a small hole under the wheel once the hydraulic hose broke a line of oil that was inside the hose connected the break through to the power pack that holds the pumps in motion the pump was shutdown and the other end was cleaned on site see detailed description,hydraulic fluid or oil leak,1
6542,subcontractor found loss of hydraulic oil during operation of a subcontracted crane approx 05l of oil was found to have leaked onto the runway area on site incident 34494excavator ppc f1 suffered hydraulic hose burst resulting in 1l loss to grade of hydraulics causing approx 500ml of fluid to spill to soil the contaminated soil was cleaned up by the operator of the excavator spill kit was applied to area of spill and contaminated material bagged for appropriate disposal see detailed description,hydraulic fluid or oil leak,1
2115,apprentice discovered flow fluid reservoir on site while loading and positioning machine on a crane he observed fluid dripping from a spill kit and the crane fell to the deck when he stepped on it and noticed that the spill came from the hydraulic pump cylinder located at the bottom of the reservoir he called the area supervisor and reported the matter to maintenance the leak was contained and cleaned up per client protocols incident 30769angore mobile crane was pulled over by the operator and placed under the maintenance supervision to be inspected by crane technicians in the next shift when the mechanic returns the machines to their fixed location,hydraulic fluid or oil leak,1
412,leak discovered at well pad f during recovery of excavator pp098 from rot at rotat1 location contaminated material removed for disposal machine to be inspected and repaired,hydraulic fluid or oil leak,1
1223,cleaner discovered small amount of hydraulic fluid in a drain in his excavator backhoe the spill was cleaned up immediately and cleaned per client protocol incident 33876on monday january three two thousand and sixteen at approximately two hundred and thirty pm at dow freeport an infinity row construction crew was performing prelim checks prior to starting the machine upon being informed of the small spill a maintenance rep noticed a small oil stain under the engine bay pan and informed the onboard spill response team the drain was immediately cleaned and the contaminated material immediately placed into an appropriately labelled waste bag for appropriate disposal see detailed description,hydraulic fluid or oil leak,2
2633,contractor detected loss of containment of oil after a spill of hydraulic fluid contacted grade personnel from the spill response team responded quickly and cleaned up spill at a small hole in the containment and repaired it,hydraulic fluid or oil leak,2
1833,"technician witnessed hydraulic fluid leak on mewp from cat 2nd street incident 28650at approximately one thousand, eight hundred am the cat two thousand and sixteen arrived at a scrap yard located in the yard the clean up was initiated and the machine was started it was noticed that a small amount of hydraulic oil was leaking from the hose a second reporter was immediately notified to the area and was called to investigate the spill a clean was conducted using absorbent pads on the equipment and a metal drip tray was placed under the leak to ensure no other spills occurred the incident was reported to wood management to remove the contaminated dirt and place in a hazardous waste container the waste was bagged and ready for transport to waste storage area",hydraulic fluid or oil leak,2
3837,cleaner witnessed spill from hose on backhoe incident 31762on friday february fourteen two thousand and sixteen an excavator operator was working in a gravel road gravel spot near an air conditioner and noticed a leak from the hosemaintenance crew was notified to contain the leak by deploying absorbent pads to the area and spreading the pads onto the concrete the contaminated soil was bagged up and placed into the containment pads used to clean up the spill,hydraulic fluid or oil leak,2
1904,hose failure during a servicing of a hydraulic hose damaged the hydraulic fitting on the hp358 unit and caused a failure at approximately the same time as the fitting was being serviced,hydraulic fluid or oil leak,2
7251,technician noticed loss of containment of sand absorbent pads when removing sand spill kit from the container incident 37779on thursday january twelve two thousand and sixteen a hgcp subcontractor was removing the sand from a container that was being used to insulate a transformer a technician noticed a change in the containment between the absorbents and the tray that had been used he immediatley removed the bags that held the contaminated sand and placed the pad in a plastic bag awaiting disposal technician performed a clean up on the affected soil prior to his disposal of the bag and determined that no additional soil was present in this contaminated area the machine is presently inoperable and awaiting repair from site maintenance see detailed description,hydraulic fluid or oil leak,2
3539,"cleaner observed loss of hydraulic fluid to grade during the daily operating routine at kopienda in the small parking area of pajamas at around 930am on january twenty two thousand and nineteen two hundred and twenty pm at one thousand, four hundred p june two seventeen thousand he noticed a discoloration in oil around one hundred ml from a piece of wood under a bucket attachment approximately twelve litres of oil was spilt on the ground spill response was initiated and clean up began immediately after impact incident took place approx two liters was splashed with hydraulic oil per client protocol wood was contacted to advise of spill cleanup equipment removed and equipment inspected and repaired",hydraulic fluid or oil leak,2
1398,employee detected smoke coming from under truck while driving a rented crane out of service the truck driver observed smoke and alerted the operator to stop the driver and notified the supervisor safety department employee called and reported the matter to supervisor pm amecfw wood mechanical foreman contacted operations to begin investigation wood pm fore man notified wood foremen pm wood advisor to hire a tow truck to pick up the rental crane the crane was moved and was cleaned up all damaged hydraulic fluid was removed and stored in a metal sheen container the vehicle is parked in the approved parking area pm bae contacted wood to coordinate rental company to tow crane rentals in,hydraulic fluid or oil leak,1
706,spill noticed hydraulic oil leak on the ground during operation of psv0600 hydraulic pump was on line with skid steer loader and was performing normal checks of the machine when spill occurred maintenance on machine is running and repairs complete,hydraulic fluid or oil leak,1
3170,contractor witnessed leak of hydraulic fluid to soil contaminated soil removed for disposal spill kit and spill trays for appropriate disposal,hydraulic fluid or oil leak,1
6981,subcontractor witnessed spill of hydraulic fluid from moxy excavator while clearing the dirt for removal of waste fill the operator of the mox excavated using a mewp sighted fluid leak immediately upon realization spill contacted the operators safety the spill was contained immediately and contaminated soil was cleaned up investigation commenced,hydraulic fluid or oil leak,1
28,there was a loss of containment on a mobile crane the client observed hydraulic fluid leaking from under the machine the spill was estimated at 50ml the operator placed absorbent pads under where spill occurred and notified the mechanics incident 32494on monday august twenty two thousand and eighteen at five hundred pm at dow freeport a maintenance client noticed a leak under a pump located within the crane once the pump was running it was determined that there had been a hydraulic hose failure and fluid was leaking to the floor of the workshop area the area was cleaned per client protocol see detailed description,hydraulic fluid or oil leak,1
1091,apprentice spotted red cube on grg road an employee was operating a crane on the road and noticed a spotter was waving her arms in the air when it struck him the cube suffered a small cut to the rib and a punctured lung,hydraulic fluid or oil leak,1
