,text,pred,rule_book
21,"the discovery of less than a quart of fluids on the ground during jobsite visual inspection at approximately 200pm on eleven million, twenty-two thousand and twenty-two swppp supervision reported the discovery of less than a quart of fluids the spill was discovered in small block one near basin fifteen where subcontractor vision is boring the because of the spill is unknown no equipment near the discovered accidental area was leaking fluids the leak was immediately noticed and environmental swppp was notified to begin cleaning procedures the actual severity and potential rating were selected as an a1 due to minimal reversible environmental impact environmental swppp was notified clean up procedures immediately took place all contaminated soil was correctly picked up and disposed of into proper containments",1,0
83,unloading a minidigger it was noticed that the diesel cap had not been fitted before delivery causing a small spill whilst the subcontractor was unloading a minidigger it was noticed that the diesel cap had not been fitted before delivery causing a small amount of diesel to spill from the minidigger tank the spill was cleaned using the spill kits available and lay down area which had the drains covered as part of the laydown process was cleaned effectively spill cleaned using spill kits on site roadway cleaned using road sweeper,1,0
98,a subcontract employee was sprayed with hydraulic fluid when a lowpressure hose connection came loose while driving piles a subcontract crew were installing piles with a vermeer pd ten pile driver when a low pressure return hydraulic hose connection came loose one of the employees that was standing in front of the equipment was sprayed in the face and torso with the hydraulic fluid the equipment was immediately shut down the minimal amount of hydraulic fluid one pintestimate that was released to ground was removed and bagged for environmental disposal the employee was transported to the medical clinic where he was treated with first aid measures and released to return to work wo restrictions the hydraulic fluid that came into contact with the ground was removed and bagged for environmental disposal,1,1
190,employees were predrilling holes for piles when a hydraulic hose ruptured causing a fluid spill subcontract employees were predrilling holes for piles when a hydraulic hose ruptured causing a spill the equipment being operated was a comacchio hitech mch drill rig the hydraulic hose had been rubbing on a piece of the equipment frame which caused the rupture the hydraulic leak occurred twenty feet away from personnel working in the area approximately four gallons fifteen fourteen liters of hydraulic fluid leaked onto the ground and was contained with a spill kit both the potential and the actual were selected as a1 as there was no personnel at risk in the incident a spill kit was immediately utilized to prevent the spread of the fluid all contaminated ground was removed and bagged for environmental disposal a service technician onsite removed the damaged hose and capped the connections to prevent further fluid loss an investigation was initiated,1,1
201,on october three two thousand and twenty-two at approximately six hundred and thirty the cat 740b articulating water truck backed up onto a berm and tipped the tank onto the left side on october three two thousand and twenty-two at approximately six hundred and thirty the cat 740b articulating water truck backed up onto a berm and tipped the tank onto the left side a small ramp had been started on the north end of the northwest ramp onto the ore pad the new ramp is approximately seventy-five long with a berm at the end of the ramp the water truck driver drove down the new ramp to water before realizing that the ramp was a dead end there was no barricade to prevent the water truck from entering the ramp when attempting to back out of the new ramp area the truck driver did not have a clear visual of where to back up the right wheels of the water truck went up on a berm six feet high causing the water in the tank to shift to the left and tipping over the tank this also resulted in the cab having the left tire off the ground stop work authority was used to write a jsa to plan retrieval of the truck and clean up of spilled hydraulic fluid the truck was removed to a safe location for evaluation,1,1
220,pickup ran over a burried rock poked hole in transmission pan while driving on the dpit road the driver drove off the edge of an eighteen inch dirt lift and struck a buried rock the rock rolled under the vehicle poking a hole in the transmission oil pan the driver immediately pulled over out of the path of the haul truck traffic the pickup truck was removed from the area on a trailer a two gallon hydraulic fluid spill occurred which was immediately cleaned up with absorbent pads and treated with bioremediation media ultimate rtu max,1,1
231,eileak of 200ml hydraulic fluid leak of approx 200ml hydraulic fluid from cat three hundred and twenty excavator pp195 bucket hose coupling to grade track the track comprises imported material spill cleaned up and contaminated waste disposed of in correct waste container note this is a different hose but on the same machine as the leak reported on 24th september clean up spill repair coupling on hose,1,1
236,sir skidsteer tampered with sircrew at kp64 arrived on site and noticed that the skidsteer had been tampered with by unknown persons and fuel had been syphoned them security notified exxon security notified,1,0
242,eileak of 20ml of bio oil to grade approx 20ml of bio oil leaked to grade from cat three hundred and twenty excavator pp195 from the tilt bucket hose the spill was cleaned up and contaminated waste was removed to the correct contaminated waste area,1,1
260,air hose ruptured during surface roughening works air hose ruptured during surface roughening works on the 3rd fender foundation with scaling hammer driven by compressed air whip arrestors and rpins were in placed correctly and hose was arrested to prevent any injuries or damage no one was injured stopped work initiated investigation process,1,0
313,eileak of 1015ml hydraulic fluid to grade ei a hydrocarbon substance approximately 1015ml was identified on the surface of a rain puddle under a parked up laurini pp216 in the moro workshop yard the laurini had been parked there for several weeks awaiting repair for a nonhydraulic fault initial inspection by the maintenance team indicates the leak may be related to the gearbox further investigation is to take place to identify the source of leak and the exact fluid spill mats were used to absorb the water and hydrocarbon the contaminated ground was removed to the correct contaminated waste area spill mats were used to absorb the water and hydrocarbon the contaminated waste was removed to the correct contaminated waste area,1,1
752,eispill of approx 150ml of diesel to ground spill of 150ml diesel to ground during breakdown maintenance of a marooka parked on the row electrician was tightening the belt on the alternator when his screwdriver slipped and penetrated the diesel fuel hose spill was cleaned up and contaminated material soil spill mats pads etc was bagged and taken to the designated disposal area at wpa spill kit stock was replenished on site the damaged section of hose was cut away and the hose was refitted with a clamp,1,1
775,hydraulic oil leak from a 200ton crane after the ptt crane operator start to open up the boom of two hundred ton crane signalman noticed that hydraulic oil leaking from the crane onto the steel plate and ground he immediately informed the lifting supervisor and crane operator to stop the operation thereafter lifting supervisor informed pec hsse and wood supervisor pec lifting crew placed the absorbent pad and also dry sand to contain and control the spillage from spreading pec activate the mechanic to site to inspect and troubleshoot the hydraulic leak issue troubleshooting on going stopped work notified plant shift superintendent initiated investigation process,1,1
859,"a skid steer hydraulic hose broke causing less than gallons of hydraulic fluid to leak onto the ground at approximately one thousand, two hundred and forty-five on seven million, two hundred and twelve thousand and twenty-two the civil crew was task to off load a spoil pile at the entrance of block two toshes rd in the process of the operator backing up and raising the skid steer rigid frame a hydraulic hose broke causing less than one gallons of hydraulic fluid to leak onto the ground the leak was immediately noticed and the machine was stopped environmental swppp was notified and clean up procedures began the actual severity and potential ratings were selected as an a1 due to minimal reversible environmental impact the equipment was shut down environmental was notified clean up procedures immediately took place all contaminated soil and diapers were picked up and disposed of into proper containments",1,1
1053,hydraulic hose burst on moffat flt during the collection of an ibc filled with waste groundwater from boreholes a hydraulic pipe burst on the moffatt vehicle being used to load the ibc on a wagon the ibc had already been loaded on the wagon but the pipe burst after this had happened the vehicle was stopped and spill kit used to prevent the spill spreading and to mop up the excess the spill was on hardstanding and no drains or sensitive receptors were in the vicinityimpacted by the spill,1,0
1176,hyd oil spill zero 25l of biodegradable hyd oil from 5t excavator connection on hydraulic connection tilt cylinder on 5t excavator failed machine shut down team lead notified supervisor hoses replacement to be fitted spill containment and recovery using spill kits and appropriate disposal of contaminated waste,1,1
1195,"hydrovac soft dig truck onsite was performing exploratory operations when a minor antifreeze spill occurred vehicle was shutdown fixed on seven million, twelve thousand and twenty-two a hydro vac truck operated by four warriors developed an antifreeze leak estimated less than a gallon leaked from truck due to a bad hose clamp that was replaced immediately no injuries occurred the actual potential was an a1a1 due to the amount of antifreeze leaked four warriors had a spill kit on hand immediately wood supplemented with additional spill kit spill was contained until repairs were made diapers and dirt were disposed of properly in double bags and placed in proper spill containment containers onsite",1,0
