,text,pred,rule_book
21679,cp20210044 env nanjv 80l hydraulic oil an excavator was grubbing off the midgrade ore pad when a rock became stuck in the tracks as operator moved forward the rock impacted a cover plate buckling it which caused the plate to damage the 4inch hydraulic suction line causing 80l of hydraulic oil to be released to the ground work stopped and scene frozen spill pads were immediately placed on spill to contain area cleaned and disposed of contaminated soil,1,0
8937,hydraulic oil spilt to ground approx two l due to hydraulic hose failure on scraper thirteen operator of scraper thirteen notice a spray mist of hydraulic oil coming from articulation area of the scraper whilst operating in stage three lot seven scraper was shut downspill response initiated,1,0
14421,rear dump tractor trailer tipped during offloading while in the process of offloading classfive aggregate to reinforce the crane stands a rear dump tractor trailer was approximately fifty elevated in preparation to dump his load when the driver claims that he felt the right rear of his trailer give way the driver attempted to dump his load but was tipped on its side before he could finish the trailer broke away from the truck as designed and the truck remained in place the hydraulic cylinder did release approximately four gallons of hydraulic oil that was contained and remediated work stopped and assessed for any injuries spill contained and remediated using spill kit soils were overexcavated and placed in an overpack drum,1,0
20986,excavator operated on a frozen slope slid sideways a short distance an excavator operator had to cross over a swale in the east gorge area of the pgwmf to assist with the moving of a water discharge hose as the unit climbed a slope on the east side of swale climbing on an angle to the slope the unti slid sideways downslope as the ground was frozen and traction was lost the operator attempted to use the bucket to stop the slide but it would not hold on the frozen ground when manipulating the bucket the hose to be moved was struck causing a small break and nonimpacted water was released nonreportable spill created and reported separately by environmental monitoring team the work was stopped and the contractor after evaluating the situation was able to get the excavator out of the swale,1,0
270,diesel leak from wood dump truck caused by broken hose clamp on tuesday january twenty-eight two thousand and twenty at seven hundred and fifteen hours wood employees contacted wood superintendent concerning a diesel fuel leak approximately five gallons on a wood dump truck caused by a broken hose clamp connecting the fuel hose to the fuel tank the leak began on zapata street in freeport and continued as the dump truck entered dow through gate twenty-four and was observed when the dump truck stopped on levee road at median street dow hsse was contacted and responded to above intersection dow hsse assessed the leak to be under five gallons of fuel wood employees cleaned up fuel leakage by scraping two inches of ground using a front end loader and depositing contaminated spoil in drums for disposal spill was located on both asphalt and dirt roadways leak stopped supervision and dow hsse notified extent of leak determined cleanup conducted per client protocol,1,0
36,enm nacap 8t excavator experienced hyd hose what happened 0930hrsenvironmental near miss enm when a hydraulic hose of an 8t cat excavator split during rehabilitation operations at kp 45the release of hydraulic oil was contained within and on the machine spill kits were located on siteall contaminated materials absorbent pads were disposed of appropriately into the contaminated waste bags,1,0
76655,caught in running equipment or machinery during regular operation two employees were operating the slitter machine and hydraulic table on line one employee one was operating the controls while employee two was using a wooden stick to pick up the ends of sheet metal coming from the slitter head to set them on the hydraulic table as the hydraulic table moved towards the slitter head employee two was caught in between the slitter machine and the hydraulic table employee two was hospitalized for a contusion and crushed chest wall liver lacerations and bruised kidneys,1,0
16110,moving diesel caddy and wheel came off the caddy damaging containment and a minor spill occured a diesel caddy was been wheeled to a laydown area by the storeman for off hire and one wheel came off the caddy allowing the underside of the caddy to make contact with the ground the storeman noticed the caddy leaking diesel so a plant nappy was positioned under the caddy to contain the spill a spill kit was then deployed to further contain the spillclean up of the spill was conducted with the used spill kit items placed into hazardous waste bags and then placed into hazardous waste bin spill kit deployed to contain spill,1,0
2127,late report due to it issuesdiesel leaking from pinhole in fuel line on bus approx 150ml had leaked to grade incident 38095angore hgcp main gate airlock nacap iveco bus rt twelve identified leaking fluid when parked waiting to go through security closer inspection of the fluid had been identified as diesel investigation identified diesel leaking from pinhole in fuel line approx 150ml had leaked to grade bus taken away by maintenance for inspection and repair contaminated material removed for disposal see detailed description,1,0
5462,detrolite dmo 07038ht demulsifier in the chemical tote spilled during the transportation incident 31652the national crane boom truck tc five was transporting the detrolite demusifier chemical tote tank from moundouli to kome five baker yard while travelling along the road approaching the gnnt checkpoint gnnt soldiers at the checkpoint noticed liquid spilling from the back of the truck on the tarred road and alerted the driver who immediately stopped the truck pulled it out of the road the driver informed his line supervisor who informed wood group hse lead wood group management eepci maintenance emp and oimps management were immediately informed about the spill onsite team used the absorbant pad toabsorb chemical from the tarred road and the secondary containment to the ground vacuum truck driver was required to suck the remaining detrolite in the chemical tote tank laterite was purred on the top of the spill to absorb the chemical the cleaning is organized the following day investigation ongoing see detailed description,1,0
4,"nacap 30t hitachi hyd hose split resultong in 100ml hyg fluid to grade what happened at approximately one thousand, five hundred and fifteen on the 26th of feb a hydraulic hose split on the 30t hitachi excavator p1995 at kp twenty-six the hydraulic hose split from near the pump inside the engine baythis resulted in 100ml of hyd fluid to grade the operator acted immediately by using allocated spill kit bag in the excavatorall contaminated materials absorbent pads were disposed of appropriately into the contaminated waste bags",1,0
3970,smoke came out off the step down transformer cable hardeniong cover during a welding task incident 34179theft of transformer oil on the syou transformer on the mk002 vsd skid was reported on june 30th two thousand and seventeen oil topup team and welding team were assigned to remove the theft mitigation cover from the transformers topup the oil and weld in place the mitigation covers during the welding process smoke was seen coming from the inside of the existing cable hardening mitigation cover the team used water to put out the smoke spark from the welding might have fallen on the grass inside cable mitigation cover and causing the smoke nobody got hurt see detailed description,1,0
50459,contact with hot objects or substances an employee was adding hot oil to a hydraulic line when an air pocket bubbled up and splashed his neck causing burns,1,0
9023,failure of a jubilee clip on a pressurised hose resulted in a minor spillage of heat transfer fluid on shop floor the laser cooling system was being filled for the first time once the closed loop system was energised the build up of normal running pressure resulted in the failure of a jubilee clip and resulted in a minor spillage of heat transfer fluid on shop floor immediate isolation of the pump containment of spilled fluid product name dowcal one hundred heat transfer fluid using workshop spill kit matting and socks ppe worn as required by material safety data sheet nitrile gloves and glasses spillage waste segregated clearly marked and labelled and secured disposed of in hazardous waste container cordoned off area of spillage and when dry was thoroughly cleaned,1,0
