,text,pred,rule_book
12085,a small amount of diesel was found to have leaked from a welfare unit which was positioned near c53 euchanhead a small amount of diesel was found to have leaked from a welfare unit which was positioned near c53 euchanhead spill kits were immediately deployed and the spill was contained on the track near where the welfare unit was located a large plant nappy was also positioned under the welfare units generator and fuel tank the contaminated material from the track was placed on visqueen and will be up lifted and disposed of in line with good environmental practiceno water courses were affected by this incident,1,0
21679,cp20210044 env nanjv 80l hydraulic oil an excavator was grubbing off the midgrade ore pad when a rock became stuck in the tracks as operator moved forward the rock impacted a cover plate buckling it which caused the plate to damage the 4inch hydraulic suction line causing 80l of hydraulic oil to be released to the ground work stopped and scene frozen spill pads were immediately placed on spill to contain area cleaned and disposed of contaminated soil,1,0
3677,"adt seven hundred and forty pp106 experienced overflow of diesel due to heat expansion approx 05l diesel leaked out from the breather cap and dripped on the ground incident 34452wpa angore yard adt seven hundred and forty pp106 experienced overflow of diesel due to heat expansion approx 05l diesel leaked out from the breather cap and dripped on the ground the adt was refuelled at 6am this morning approx 40l the adt was parked up in wpa yard and not working where wpa yard what 05lt of diesel to grade when 23th august one thousand, five hundred hrs how fuel tank was over filled which facilitated expansion to occur other refuellers observed spill and cleaned up the machine and contaminated soil further actions refuelling team was stood down and spoke to on importance of not overfilling equipment see detailed description",1,0
51918,contact with hot objects or substances an employee was transporting hot oil in a waste container by hand to a waste bin outside when the hot oil spilled onto the employee torso arms and legs causing burns that required hospitalization,1,0
12344,while performing chemical cleaning a spill occurred while preparing the replacement transport of the pump used for chemical cleaning the tankcontainer was overfilled the tankcontainer was overfilled due to a not properly closed valve altena assumed the valve was closed while it was not the case therefore the cleaning product continued to fill the container the tankcontainer caused back flow to one isocontainer from psa system approximately 1m3 was spilled into the containment berm the fire guard present decided to dilute the spill by water the containment berm was overfilled due to this and reached the sewer of the psa this sewer is not live yet hci industrial cleaning company was two hundred and forty-seven standby during this operation hci removed the spillage immediately by cleaning the sewers and area hci transferred this residue to designated baker tanks name,1,0
15924,h2s hydrogen sulfide gas leak twenty twenty workers were waiting to start work on the 6th floor of the coker plant before starting work the hse supervisor reviewed the levels of hydrogen sulfide gas in the working area the levels increased from six to nine ppm and hydrogen sulfide gas was coming from a line of steam according to indication from pemex operations the hse supervisor evacuated all personnel from the area at 11am pemex personnel controlled the leak all work in that area was suspended until the next day all staff was evacuated from the area activities were suspended and an official letter was delivered to the client requesting the inspection of their facilities additionally an hse specialist will visit the facility to inspect possible leakage in the coker plant,1,0
11203,"uxo found while doing road grading by fdh uxo found while doing road grading in fdh laydown area one 28o fifty-eight four thousand, four hundred and sixty n 48o ninety-three thousand, nine hundred and twenty-five e google maps informed mab refinery edc emergency dispatch centre wood knpc senior management informed kuwait mod eod disposed off the xo at one thousand and thirty local time area declared clear at one thousand and forty all wood and knpc management informed",1,0
8937,hydraulic oil spilt to ground approx two l due to hydraulic hose failure on scraper thirteen operator of scraper thirteen notice a spray mist of hydraulic oil coming from articulation area of the scraper whilst operating in stage three lot seven scraper was shut downspill response initiated,1,0
14421,rear dump tractor trailer tipped during offloading while in the process of offloading classfive aggregate to reinforce the crane stands a rear dump tractor trailer was approximately fifty elevated in preparation to dump his load when the driver claims that he felt the right rear of his trailer give way the driver attempted to dump his load but was tipped on its side before he could finish the trailer broke away from the truck as designed and the truck remained in place the hydraulic cylinder did release approximately four gallons of hydraulic oil that was contained and remediated work stopped and assessed for any injuries spill contained and remediated using spill kit soils were overexcavated and placed in an overpack drum,1,0
270,diesel leak from wood dump truck caused by broken hose clamp on tuesday january twenty-eight two thousand and twenty at seven hundred and fifteen hours wood employees contacted wood superintendent concerning a diesel fuel leak approximately five gallons on a wood dump truck caused by a broken hose clamp connecting the fuel hose to the fuel tank the leak began on zapata street in freeport and continued as the dump truck entered dow through gate twenty-four and was observed when the dump truck stopped on levee road at median street dow hsse was contacted and responded to above intersection dow hsse assessed the leak to be under five gallons of fuel wood employees cleaned up fuel leakage by scraping two inches of ground using a front end loader and depositing contaminated spoil in drums for disposal spill was located on both asphalt and dirt roadways leak stopped supervision and dow hsse notified extent of leak determined cleanup conducted per client protocol,1,0
36,enm nacap 8t excavator experienced hyd hose what happened 0930hrsenvironmental near miss enm when a hydraulic hose of an 8t cat excavator split during rehabilitation operations at kp 45the release of hydraulic oil was contained within and on the machine spill kits were located on siteall contaminated materials absorbent pads were disposed of appropriately into the contaminated waste bags,1,0
20020,diesel oil spillage could occur while refilling diesel to air compressor engine the worker of contractors are refilling diesel oil into air compressor engine by putting the plastic container of diesel oil on structure of air compressor that higher above ground level in addition the worker used the plastic hand pump to suction oil from container to air compressor and no secondary containment provided for this work activity high risk of spillage to occur stopped work activities by site hsse and called worker to be clarified on risk associated with that activities and review work method,1,0
30586,intentional injury by other person nec an employee was entering the store while an individual was leaving the store with oil the individual did not pay for the oil the employee tried to retrieve the oil and was dragged by the individual car,1,0
3250,leak of 011kgs of gas from turbo expander filter joint for five minutes during start up incident 35916during the start up of the turbo expander the operatordetected the smell of gas near the thrust gas skid the source of leak was traced to the thrust gas filter housing flanged joint see attached photo the system was then immediately isolated and depressurised to the flare system the system is at one hundred and ten bar the release quantity has been calculated at 011kgs fromthe five minute duration eventno automated gas detection systems were activated the nearest gas detector is approx 15m away from the leak source at an elevation 4m above the source of the leakan intiai phast calculation estimates the flammable cloud size to be 3m diameter the leaking flange joint is a double oring seal and has not undergone any recent maintenance activities see attached mechanical engineer initial report the terminalshydrocarbon release reduction procedure catsafprc011attached includes the requirement to search for actual and potential leaks on your site and manage what you find the plant area is divided into sectionsthere are preventative maintenance work orderswhich require the operations shift team to carry searches of an area a monthly report is produced of the status of weeps seeps and leaks the operations team retain a list of all live weeps seeps and leaks this is reviewed at the site monthly hse meeting there is no requirement to report this incident to either the health and safety executive or the environmental agency see detailed description,1,0
2770,while transporting newly received paint on a trolley the paint container dropped from trolley and it was reported about two litres of paint spilled on plant access road incident 36423on 12th february two thousand and eighteen around 1030am upon receiving paints from a lorry mechanical helper placed ten number of paints stored in each five litres container onto a large trolley the paint containers were each placed without stacking one another on the trolley while pushing the trolley on plant access road to the storage area one of the trolley wheel had rolled over a small granite aggregate and thereby causing one of the paint container to dropped off from the trolley and causing a spillage of about two litres on plant access road the mechanical helper then immediately scooped the spilt paint into another empty container while the rest of the residual balance spillage on the plant access road was applied with absorbent pad the paint did not spill into the nearby perimeter drain and it leaves about 1m2 area of stain on the plant access road see detailed description,1,0
16110,moving diesel caddy and wheel came off the caddy damaging containment and a minor spill occured a diesel caddy was been wheeled to a laydown area by the storeman for off hire and one wheel came off the caddy allowing the underside of the caddy to make contact with the ground the storeman noticed the caddy leaking diesel so a plant nappy was positioned under the caddy to contain the spill a spill kit was then deployed to further contain the spillclean up of the spill was conducted with the used spill kit items placed into hazardous waste bags and then placed into hazardous waste bin spill kit deployed to contain spill,1,0
2127,late report due to it issuesdiesel leaking from pinhole in fuel line on bus approx 150ml had leaked to grade incident 38095angore hgcp main gate airlock nacap iveco bus rt twelve identified leaking fluid when parked waiting to go through security closer inspection of the fluid had been identified as diesel investigation identified diesel leaking from pinhole in fuel line approx 150ml had leaked to grade bus taken away by maintenance for inspection and repair contaminated material removed for disposal see detailed description,1,0
9754,"ferric chloride tank level indicator began leaking for unknown reason at approximately one thousand, six hundred and forty-five it was identified that the level indicator on the ferric chloride tank was leaking there were no workers or activities taking place in the area of the tank at the time it began leaking approximately fifty-four gallons of ferric chloride leaked from the tank within the containment and less than one gallon was sprayed outside the containment due to head pressure the investigation is currently ongoing as the because of the leak has not been identified the leak was immediately reported to management and supervision proper ppe was donned and the isolation valve upstream of the level indicator was closed isolating the leak customer was notified and chemical remediation service was contacted to clean and neutralize the spilled materialsthe area has been further barricaded until the because of the leak can be identified and repaired",1,0
