,text,pred,rule_book
21679,cp20210044 env nanjv 80l hydraulic oil an excavator was grubbing off the midgrade ore pad when a rock became stuck in the tracks as operator moved forward the rock impacted a cover plate buckling it which caused the plate to damage the 4inch hydraulic suction line causing 80l of hydraulic oil to be released to the ground work stopped and scene frozen spill pads were immediately placed on spill to contain area cleaned and disposed of contaminated soil,1,0
1568,approximately one gallon of antifreeze dow therm leaked from tipped over bucket onto concrete notifications were made and area cleaned up per client protocols incident 39656while off loading pallets from drum truck a five gallon screw lid bucket fell off a pallet onto the trailer deck by the time the employees noticed bucket was tipped over approximately one gallon of antifreeze dow therm had leaked onto the trailer and then onto a concrete surface notifications were made and the area was cleaned up per client protocol see detailed description,1,0
8937,hydraulic oil spilt to ground approx two l due to hydraulic hose failure on scraper thirteen operator of scraper thirteen notice a spray mist of hydraulic oil coming from articulation area of the scraper whilst operating in stage three lot seven scraper was shut downspill response initiated,1,0
14421,rear dump tractor trailer tipped during offloading while in the process of offloading classfive aggregate to reinforce the crane stands a rear dump tractor trailer was approximately fifty elevated in preparation to dump his load when the driver claims that he felt the right rear of his trailer give way the driver attempted to dump his load but was tipped on its side before he could finish the trailer broke away from the truck as designed and the truck remained in place the hydraulic cylinder did release approximately four gallons of hydraulic oil that was contained and remediated work stopped and assessed for any injuries spill contained and remediated using spill kit soils were overexcavated and placed in an overpack drum,1,0
270,diesel leak from wood dump truck caused by broken hose clamp on tuesday january twenty-eight two thousand and twenty at seven hundred and fifteen hours wood employees contacted wood superintendent concerning a diesel fuel leak approximately five gallons on a wood dump truck caused by a broken hose clamp connecting the fuel hose to the fuel tank the leak began on zapata street in freeport and continued as the dump truck entered dow through gate twenty-four and was observed when the dump truck stopped on levee road at median street dow hsse was contacted and responded to above intersection dow hsse assessed the leak to be under five gallons of fuel wood employees cleaned up fuel leakage by scraping two inches of ground using a front end loader and depositing contaminated spoil in drums for disposal spill was located on both asphalt and dirt roadways leak stopped supervision and dow hsse notified extent of leak determined cleanup conducted per client protocol,1,0
36,enm nacap 8t excavator experienced hyd hose what happened 0930hrsenvironmental near miss enm when a hydraulic hose of an 8t cat excavator split during rehabilitation operations at kp 45the release of hydraulic oil was contained within and on the machine spill kits were located on siteall contaminated materials absorbent pads were disposed of appropriately into the contaminated waste bags,1,0
21298,a wood employee noticed a leak on the aerial lift when starting job when beginning to use a rented aerial lift a wood employee noticed a small drip coming from the piece of equipment the employee stopped the equipment and began containment of the drips actualpotential decision was based on the fact the spill was minor with no environmental impact could have been worse had the leak not been noticed the wood employee notified his supervisor client operations and company hsse the equipment owner was also notified and dispatched a mechanic immediately to the job site,1,0
11910,digger driver loaded dumper bucket before worker had a chance to dismount digger driver loaded dumper bucket before worker had a chance to dismountthe dumper he told the digger driver to wait next time,1,0
16110,moving diesel caddy and wheel came off the caddy damaging containment and a minor spill occured a diesel caddy was been wheeled to a laydown area by the storeman for off hire and one wheel came off the caddy allowing the underside of the caddy to make contact with the ground the storeman noticed the caddy leaking diesel so a plant nappy was positioned under the caddy to contain the spill a spill kit was then deployed to further contain the spillclean up of the spill was conducted with the used spill kit items placed into hazardous waste bags and then placed into hazardous waste bin spill kit deployed to contain spill,1,0
2127,late report due to it issuesdiesel leaking from pinhole in fuel line on bus approx 150ml had leaked to grade incident 38095angore hgcp main gate airlock nacap iveco bus rt twelve identified leaking fluid when parked waiting to go through security closer inspection of the fluid had been identified as diesel investigation identified diesel leaking from pinhole in fuel line approx 150ml had leaked to grade bus taken away by maintenance for inspection and repair contaminated material removed for disposal see detailed description,1,0
