,text,pred,rule_book
17251,"nonworkrelated iw reported feeling irritation in eye when showering at home after work nwr a wood t i welder iw advised hse after prestart on nine million, seventy-two thousand and twenty that whilst showering at home the previous evening he felt a scratchy sensation in his right eye he believes it may have been a small particle of grit from working in a confined area during his shift that day but could not be sure he advised that the irritation persisted during prestart so was taken to site first aid for assessment the site nurse was unable to view any foreign object in his eye however flushed the eye with saline as a precaution and the worker returned to normal duties worker assessed by site nurse no fo located eye flushed with saline as a precaution and worker returned to normal duties",1,0
23763,cp20210080 nmg fournier lsr breach working at heights two workers were installing a permanent lifeline on top of the trailer roof one worker was on roof with fall protection not connected to an anchor point and the other worker was on a ladder approx 9ft high without fall protection on this incident was deemed a violation of woods life saving rule relating to working at height the actual rank of c1 was selected because two workers were placed at risk of falling all though no injuries were sustained the potential was ranked at c4 as two workers were at risk of serious injury in the event of a fall work was stopped and workers descended to ground contractor supervision and safety were notified incident investigation initiated,1,0
10478,employee working at height without a harness on azco employee was working elevated within the protected boundaries of a ct enclosure without the use of a personal fall protection system as work progressed the employee transitioned outside of the ct enclosure thus exposing himself to a fifteen fall exposure the employee did not recognize the hazard associated with his movement to a different location the employee was observed starting his transition by one of the project hssea team members and immediately removed from the hazardous location the investigation was initiated and a project wide safety stand up was completed investigation is ongoing,1,0
5689,pen slipped from a height of 4m however it landed on a roof 2m below incident 31377pen slipped from individuals hand while writing notes down individual was wearing gloves at the time pen fell to a height of 2m on a roof no personnel working it in the vicinity checked to ensure no personnel were working in the vicinity all clear pen landed on roof area below see detailed description,1,0
14,wood scaffolder observed on scaffold not in compliance with working at height polices harness on but not one hundred tied off wood scaffolder observed on scaffold not in compliance with working at height polices harness on but not one hundred tied off job was immediately shut downscaffold was in the process of being erected scaffold was stable but missing a handrail on the north side safety stand down called for all wood construction crew all works not just scaffold crew highlighted lsa and focused on wahscaffolder in question has been stood down until an investigation has been completed,1,0
851,"wood employees were observed working from a platform that did not have standard handrails while not tied off at four foot level fpc hsp observed wood employees working in old1 area v three thousand, six hundred and two j2 working from an access platform that did not have standard handrails without fall protection the fpc hsp also observed one employee standing on toeboard and a valve adjacent to platform the elevation of the grating on the small platform is four zero above the lower level the toeboard height was four five above the lower level which violates company fall protection requirement of four work was immediately stopped and the issue was corrected investigation was started",1,0
14080,while cutting sheathing contractor knife slipped causing laceration to palm subcontractor employee was removing the outer sheathing on a triplex cable holding three independent wires one or two with a locking folding blade knife knife blade is approx four long employee was cutting the length of the cable while holding the cable in his left hand and trying not to cut into the wires inside the sheathing after approx six of cutting the knife slipped and made a cut of approx one long into the left hand palm area employee was wearing leather work gloves at the time of the accident first aid administered,1,0
7190,employee was working in well bay when he backed in to a fitting on an esd station incident 28872employee was working in the well bay area when he backed in to a fitting on an esd station employee received a scrape on his back no treatment needed see detailed description,1,0
10552,working height without full body harness e i contractor was working on the top floor of substation f16 and did not follow client safety critical rules by not using full body harness protection srl the top floor of the substation f16 building requires a full body harness to be worn at all times during any work near the edge of building due to there being no handrail around the building stopped work and call for investigation,1,0
9950,short circuit in 440v cubicle short circuit in 440v cubicle in electrical switchroom at the time of cairs submission no more information available aw hse report to be released by client electrical cubicle made safe no further information available at time of cairs submission aw hse report from client,1,0
20658,job completed wrong permit when an instro fitter was job completing his permit on cba he realised straight away he had inadvertently job completed a permit on wtn immediate actions one notified supervisor who spoke with cobia oim who in turn notified wtn oim two job completed correct permit,1,0
17487,during demolition activities of a windowpane a piece of glass fell to the ground gencantieri was executing the dismantling of a windowpane on south side of building b7 the windowpane has a frame of concrete and the glass is made of element of about 50x50cm the dismantling activity was carried out from a scaffold erected on purpose to cover the entire window the sequence of dismantling foresees the cutting of silicone seal and the consequent removal of glass elements during this operation one of the glass elements was stuck into the frame in the attempt of removing it the glass detached from the frame and fell to the ground on the inner side of the building the area inside the building where the glass landed is not accessible to the workersoperators so nobady could had been there on the impact no splinters or pieces of glasses have been found the glass element remains intact activities have been stopped wood hse supervisor informed and investigation started,1,0
16036,gust of wind blew sawdust into ee eye ee was cutting 2x4 with a skill saw wearing full ppe a strong gust of wind kicked up and blew saw dust into eye ee reported condition immediately to supervisor and was taken to safety eyes were flushed by safety department and a noticeable body was observed that could not be flushed ee was transported to eye clinic where a full evaluation diagnosed an ocular freckle no foreign body present,1,0
7271,ee was cutting a piece of four pipe with a bandsaw the bandsaw blade broke and a shard of the saw blade stuck in the pipe the ee did not see the shard of the blade and cut his left thumb even though he was wearing his ppe gloves incident 28798on saturday february thirteen two thousand and sixteen at nine hundred and five am at the infinity fab shop an infinity constructionee was cutting a piece of four pipe with a bandsaw the bandsaw blade broke and a shard of the saw blade stuck in the pipe the ee did not see the shard of the blade and cut his left thumb even though he was wearing his ppe gloves see detailed description,1,0
20798,"a subcontractor cutting concrete dropped a cut piece of concrete off the roof of pdx92 on february eighteen two thousand and twenty-one at approximately one thousand, three hundred and forty-five hours a subcontractor for wood heavy civils was assigned the task of cutting new scupper holes at the southeast roof of building ninety-two at the pdx92 jobsite after the cut was complete the subcontractor failed to secure the cut out and the twelve inches long by nine inches wide by eight inches thick concrete cut out fell to the ground there were no employees working in or around the location of where the concrete cut out landed in the dirt gray safety informed wood heavy civils safety manager of the incident wood heavy civils safety manager began the incident investigation however gray safety pulled the subcontractor into their office had the subcontractor fill out statements and suspended the subcontractor for the rest of the day wood heavy civils was not able to conduct interviews obtain statements or complete an investigation due to gray safety sending our subcontractor offsite",1,0
12050,small abrasion under the eye employee was installing a loom clamp with a ten tek screw into the predrilled hole on the module frame as dolores was drilling in the screw a piece ofaluminum shaving fell onto the area under her eye contractor reiterated the importance of wearing gasketed safety glasses tight to the face employee was wearing the proper glasses at time of the incident,1,0
6614,rope access technician received a cut to his left wrist from a hack saw while cutting off a bolt incident 30451a rope access technician received a cut to his left wrist while removing a section of heat shield from pipe work one of the boltswas in a tight area and he could not remove it using the ratchets he opted to use a hacksaw to cut the bolt off the bolt was slipping so he put his hand inside the shield and held the bolt with his spanner as he was cutting the spanner slipped and as the bolt moved the hacksaw slipped and cut the ip on the left wrist above his thumb theipwas treated by a first aider and taken to the local casualty where glue was applied to the wound the ipthen returned to work see detailed description,1,0
14370,whilst cutting a metal bracket using a hacksaw the blade broke and came in contact with the ip left hand index finger pipe fitter was cutting a metal bracket with a hacksaw when the blade broke causing the hacksaw to come in contact with the ip finger ip was wearing leather gloves at the time incident reported to supervisor ip attended the medic for assessment and first aid treatment,1,0
