,text,pred,rule_book
7,pile driver made contact with pile and empty two inch conduit causing damage subcontractor operator was in the process of relocating pile driving equipment when he decided to take a different route than previously planned as operator began to change rout he started to back pile driver up in order to change from one row to the next operator reversed machine approximately five ft when he heard what he described as a cracking noise operator stopped equipment immediately and upon investigating discovered he had made contact with an installed pile and an empty two inch crossover conduit operator contacted wood qc dept and asked him to report it to his immediate supervisor wood qc dept also notified safety dept no other team members were in the immediate area when issue occurred when asked operator stated that no spotter was in use wood safety dept was notified stand down conducted with subcontractor personnel and ad protocols were initiated,1,0
8838,cyrogenic flexible hose experienced a pinhole leak during leak testing whilst carrying out a leak test of ex23 metering skid a flexible cryogenic hose experienced a pinhole leak at thirty barg of nitrogen the metering skid was being leak tested because it had undergone a minor maintenance campaign task was halted nitrogen was depressurised to flare system the cryogenic flexible hose was tagged as do not use and quarantined for investigation,1,0
1415,"fall incident of 34ft while wearing fall protection incident 39815on nine million, two hundred and sixty-two thousand and eighteen at one thousand, one hundred and twenty am an ironworker was removing aluminum roof liner panels at a height ofapproximately thirty feet that had been damage when it wasinstalled these particular panels are not strong enough to support the weightof someone walking on them the employee had to walk directly on top of thepurlins roof rafters to avoid going through the panel while removing insulation before the panel could be remove from underneath employee was wearing his fall protection hewas anchored tied back to the ridge of the roof via a fifty foot selfretractinglifelines srl and a roofing butterfly clamp the employee was approximately15ft extended out on the srl when he lost his balance and stepped on to theunsupported part of the panel employee started to go through the panel when hecaught himself 34ft fall on the purlin the employee was able to get back onthe roof without any help employees srl never locked quick acting breakingsystem as it was not a fast descend employee suffered minor discomfort to hisribcage area but was clear by axiom to return to work after reviewing the process of removing the damage linerpanels with the project manager and site supervisor the followingsfinding were discover the employee was removinginsulation four tx24 wx60 l from the top side of the roof the insulation neededto be removed before the liner panels could be removed from the inside of thebuilding to prevent the insulation from free falling on to equipment in thebuilding insulation could not beremoved via an aerial work platform as the individuals would not be able toreach the insulation in a safe manner access to the roof was via an aerialwork platform employee went through thepanel as he was removing insulation usually these panel can hold you weight fora limited amount of time this particular panel gave way before the employeecould get his feet back on the purlin the liner panels usuallyinstalled are twenty-six gauge metal liner panels that can support and individualworking on them when properly installed the liner panels being installed inthis particular building where twenty-nine gauge aluminum panels that cannotsupport the weight of a worker worker were informed of thedangers of walking on these panels and were require to use one hundred tie off at alltimes theaffected employee was trained in theuse of fall protection and has been with thecompany since ten million, twenty-two thousand and seventeen he has3 years of experience in the industry employee was chosen for thistask by the superintendentas he is one of the more capable and is fit for this type of work fall protection being used guardian temper anchor part four hundred and fifty-five contractorfall tech 50ft srl guardian seraph construction harness part eleven thousand, one hundred and seventy-three employeenever arrested on the fall protection however theinvolved fall protection has been discarded see detailed description",1,0
5419,an hvac employee was permitted to replace filters on the ac unit the permit writer asked if anything needed to be turned off and the employee stated no during the work the employee turned off the unit which had not been previously permitted incident 31663on thursday november three two thousand and sixteen at four hundred pm at dow freeport b four hundred block an hvac employee was permitted to replace filters on the ac unit the permit writer asked if anything needed to be turned off and the employee stated no during the work the employee turned off the unit which had not been previously permitted see detailed description,1,0
1758,equipment operator unintentionally made contact with twelve line that is still under wood possession and not in service causing damage to the line no injuries were sustained incident 38460at approximately 1100am on july thirty 2018whileditching operations were taking place in muddy terrainequipment operator tried to maintain swishing mud and dirt in his bucket from falling out onto the newly constructed twelve steel pipe located on skids on the west side of the trench when he unintentionally struck the pipe the bucket left a gouge in the pipe resulting in a cut out needed operator immediately stopped work and notified the chief inspector as well as safety the twelve line that was hit is still under woods possession and not in service trench being constructed is for this line work was stopped to investigate and operator retraining as well as spotter re training was conducted see detailed description,1,0
11323,foreman was seen on piperack without a harness he was not taking part in the activity directly foreman was seen on piperack without a harness he was supervising the activity not taking part in it directly breach of the life saving rules applying to working at height the foreman got suspended immediately,1,0
17712,employee received a burn to his left palm after touching truck bed mounted air compressor muffler employee and coworker were utilizing the truck air compressor to run an impact wrench for change a tire upon completion of the tire change the ip was attempting to drain the air compressor and placed his left hand on the air compressor exhaust manifold burning his palm actual b1 rating due to first aid measures being applied to the burn potential b2 rating due to potential need of medical treatment for the injury employee was evaluated at xtreme md in kenedy tx and released to full duty with first aid measures for the burn,1,0
14026,non compliance of working practices no injuries or damage occurred non compliance of working practices no injuries or damage occurred incorrect site setup of danger zone site demarcation as per rams inappropriate use of fall arrest system as per safe working at height rams deviation from l7c tower erection rams work stopped gang brought in to site yard office to be interviewed by site manager site engineer and hse advisor gang rebriefed on the working at height tower erection and site demarcation rams the gang also received a tbt covering these issues raised,1,0
2262,staging of materials into a skid not listed on the permit and had not been risk assessed incident 37940the work group had been staging material outside of skid nineteen as stated and approved on the work permit after staging material outside of skid nineteen the work group began to move material into the skid the staging of material task to the inside of skid nineteen was not listed on the work permit during the staging of materials into the skid there were activities performed that were not listed on the permit and had not been risk assessed installationsitefacility gather centre two see detailed description,1,0
7415,individual sustained a cut to rear of head incident 28676accident occurred sat 23rd jan at 0645am at the atg compound individual bent down by site box to pick up cables liddrop and hit individual on back of head the individual received first aid on site and was sent to the hospital forfurther evaluation it was then glued by the medical professionals the site reports that this was the first time that a box dampener has failed in this method previously when it was noticed that they were weakening new dampeners were ordered then they therefore have decided to now do annual checks on all dampeners full atg accident investigation report attached see detailed description,1,0
5640,"regular maintenance job by subcontractor has been stopped due to non compliance with site induction and wg subcontractor management process no injury incident 31458crane aid was engaged two to three weeks prior to job being conducted to inspect hoppers crossing ps overhead cranes this task also required the use of ewp which to be lowered into nth and sth wells to inspect the overhead systems located within the wells tuesday 27th september afternoon wg technician informed he would be required to lower and raise the ewp in and out of the wells as he will be onsite note normally wg technician is engaged solely for this task but advantage taken as he was already engaged at the site wednesday 28th september wg weekly sewer transfer prestart planned for 7am hse advisor and electrical supervisor arrived at hcps prior to 7am and noticed that ewp is outside the gate for delivery ewp was unloaded and delivery truck left site wg crew attended prestart in hcps kitchen crane aid crew arrived at seven 30am after prestart hse advisor asked to review all associated paperwork with the ewp job wg technician produced a permit no thirty-four thousand, eight hundred and twenty tra work order which had been handed over from wg planner when the additional paperwork was requested spotters duties height rescue plan checklist suspension trauma fact sheet wg technician informed that he did not have any more and that the attachment on the i pad could not be opened the linkewp approval had been sent by email from hs advisor to wg planner and technician hse advisor connected her computer and printed out the required documents hse advisor left site and planned to return within half an hour hse advisor returned approx 9am as the team were finalising paperwork and crane aid were doing ewp pre checks hse advisor now reviews completed paperwork and found the following gaps reference to online mw hcps induction which does not not exist one of the crane aid people work at height training had lapsed permit was issued for the works but not on the job site in the control room there was no dedicated wg person on the job which is required for ewp tasks four gas detector was required on tra but none were bought to the site no one picked up on it and when challenged on it the team leader just crossed it off the tra hse advisor requested an orientation from mw operation on site to keep the job moving but they indicated it will be at least forty minutes after a conversation with mw operations and due to wg technician scheduled other work a joint decision was made to suspend the works and reschedule it later as it will be too late to complete the planned work hse advisor informed wg planner who supported this decision and informed crane aid why the job was stopped and raised questions on their inductions crane aid crew pack up and left site at approx 11amroot causes wg did not have a wg person dedicated on the job for a high risk task the orientations for mw sewer transfer are not electronically auditablesolutions investigate sewer transfer to complete the implementation of the online induction process which allows electronic validation of site inductions on a register a bacid report must be generated and distributed weekly to identify who is site inducted and orientated on the sewer transfer sites review the wg ewp document and reroll out expectations that a wg person must be involved in the job reaffirm that a dedicated technician must be plannedscheduled onto ewp jobs at all times in future arrange mw permit recipient online training for all wg planners to close this gap and improve overall understanding of mw permit application proces see detailed description",1,0
20540,worker improperly tied off working at height worker was observed to be improperly tied off while working at height worker was advised to tied off correctly graham supervision was notified job site was shutdown worker was dismissed and everyone else was sent home,1,0
3960,nm reported by client on five july wg employee climbed stairs and encountered gas vapours incident 34170nm reported by client on five july only details say that a wg expat climbed a crude storage tank ladder whilst in service details not available until information received from client initial report received from client individual had been taking survey and measurement of roof fittings at the decommissioned ds7 crude tank one he was unsure of the specification and decided to check ct two with this objective in mind he entered ct two berm and posted his apt member at the bottom of the stairwell he ascended the stairs until he came to view the tank vents and nozzles which were emitting gas vapours realizing the hazard he turned to descend and at the time noticed another worker she rep on the ground signalling him to come down he did so and had a discussion of the circumstances with the rep individual and she rep reviewed and discussed the incident at the site individual recognized and admitted to his error all personnel left the site incident was reported up the business line and investigation commenced line management advised of the snm occurrence see detailed description,1,0
10622,breakin and theft of storage area our kirkland wa office storage area ram license wnl0931 had a breakin over the weekend the lock to the main door of the storage unit was cut and the lock to the large steel nuclear gaugexrf device storage cabinet located inside the storage unit was cut we have verified all of the four four nuclear gauges we have in our inventory are accounted for and in our possession the steel cable running through the nuclear gauge cases and locked to the steel cabinet was not cut however the portable xrf device information below stored on the upper shelf of the steel cabinet was stolen and has been recorded as stolen by the kirkland police department in addition the state of wa regulators were notified and stated there were no issues our storage area was approved by the state of wa and remains in compliance with the regulations,1,0
