text,pred,rule_book
"plant overhead crane made contact with wood broderson boom around two thousand, three hundred and thirty hours the plant subcontractor was moving the overhead crane south over the unit four crane bay wood broderson was set up over the unit four crane bay and was unoccupied and on standby the plant overhead crane operated by plant subcontractor made contact with the broderson boom the wood operator was not present in the cab of the broderson at the time of contact detailed description wood employees were told that they were going to have to move the broderson in order for a plant subcontractor to relocate the stator cover of the generator to the northeast corner of unit four turbine at approximately two thousand, one hundred at that point the wood operator and the employees working in the area were told that they did not need to move the broderson only to retract the boom and boom down which was completed prior to two thousand, one hundred once the piece had been flown around the south end of the unit four active turbine and relocated beyond the broderson the guys went back to work during this time the overhead crane remained idle for approximately one fifty-two hours at two thousand, three hundred the wood operator left the broderson to use the restroom the boom was left elevated in anticipation of picking another load of demo material during this time wood employees on the operating floor receiving the loads were inside of the red barricade looking into the bay to the basement on the south side of the broderson the plant subcontractor then began moving the overhead crane and did not make an attempt to alert the wood employees in the area that they were moving the overhead again the operator of the overhead crane and two other coworkers were located on the north side of the hook and broderson as the plant subcontractor moved the overhead to the south the operators cab of the overhead made contact with the tip of the broderson boom from the verbal statement given by the plant subcontractor operator the boom height would clear the overhead crane however the lateral distance of the boom tip did not clear the cab of the overhead crane thus resulting in the wood broderson being pushed approximately four from its original location into the toe plate the wood broderson was immediately tagged out of service pending full inspection and recertification investigation was initiated barricaded area was extended statements were collected",0,1
onset of fire of generator at eight zero am the mechanical contractor noticed an onset of fire of mosa generator used immediately the afw hse supervisor helped by mechanical contractor pulled the pin of the fire extinguisher and squeezed the trigger putting out the fire no damaged to the equipment around and no injury to the personnel close by immediate fire extinguishing generator tagged as out of service,0,1
operative was witnessed at height accessing scaffold equipment out with the safety of the scaffold working platform leaving a possible fall from height incident 32124incident took place on the 19th february two thousand and seventeen at the queen margaret drive site for barratt homes investigation currently ongoing as of the 20th january two thousand and seventeen 0800am initial investigationsuggests a wood group operative had accessed a loaded forklift truck at height toremove rope that had been securing the plettac scaffoldingboards this had beenout with the confines of the scaffold working platform the operative had been witnessed by a member of the clients hse team carrying out the unsafe act whilst not being hooked on by the operatives fall protection system further investigation required with theinterview of the woodgroup operative to be held early next week revised as of 07022017on the 19th january two thousand and seventeen wgis operatives had began their day by carrying out typical man in attendance duties consisting of light scaffold alterations and hop up movements using plettac system scaffolding after these duties had been completed the two scaffold operatives had been tasked by the client to carry out scaffold erection on the townhouse projects this consisted of the scaffolders erecting the 5th lift scaffold run on the north elevation of the town houses at plot forty-five the previous day had consisted of erecting the skeleton lift on level five which would have been the standards ledgers and advanced guardrails during the start of the morning appx 800am william mcdonald had requested to the forklift driver the need for boards and for the flt to assist with the lift which is a client wgis contract requirement to complete their activity the scaffolders required further plettac boards to erect at the 5th level these boards would be transported by the site controlled forklift truck and boomed to height for operatives to manual hand onto the scaffold the operatives had carried out their task of erecting additional scaffold material at level five until the flt could supply the workface with decks at 0950am 1000am the scaffold operatives had been finishing up for their morning break when the flt had become available to assist on the lifting of scaffold boards to the 4th level to allow the scaffolders to removethe required boards they needed to complete the lift above the flt hadpicked up a pallet of plettac stage boards which consisted of forty boards 10boards high x four boards wide the boards were secured together by two lengths of blue polyprop rope and had been secured with slip knots this would be enough boards to erect the deck above as the flt boomed out the load to the required height the flt operator positioned the forks so they had slightly protruded onto the advanced guardrail to which had been said was a normal method on this occasion the flt operator had landed the forks on the mid handrail of the advanced guardrail rather than the lift ledger itself this meant that the top of the boards were at a greater height than normal due to the ground position of the forklift truck theload had came in at an angle rather than parallel with the scaffold bay also once the load had been placed in situation william mcdoanld wgis scaffolder began toremove the ropes that had been securing the scaffold boards the first rope had been removed with ease as it had been tied off correctly andwas positioned at the front of the load top of the boards closest to the scaffold the second rope had been secured on the opposite end of the load of boards which now meant that the release point of the knot was to the back of theplettac boards furthest point away from the scaffold william mcdonald proceeded to climb onto themid hand rail point where he initially loosened the knot but it got stuck on the plettac boards and william then hooked on to the back ledger where he then elevated himself onto the top handrail and placed a knee onto the boards itself william was able to remove the knot and rope from the plettac boards at the point where william elevated himself onto the tophandrail and reached out to the rope the barratt homeshse advisor spotted william out on the boards and shouted at william through the site office window to get down and stop what he was doing there had been no further inspection of the work area carried out by the hse advisor and william and james stopped what they were doing at went for the morning break william had returned from his break and spoke withbarratts hse advisor stuart pontin who said billy should have known better as he was a supervisor for wood group and should have displayed better practice william and james carried out the remainder of the shift without any further influence from the hse advisor at approximately 1700pm john mccall senior operation manager for wood group received a phone call from barratt homes west construction director craig mcfarlane of the working atheight issue that his hse advisor had witnessed and asked jmc to look into the incident stuart carson wgis hse advisor received a phone call from johnmccall about the issues and that an investigation was required to determinewhat had happened due to the nature of the working at height incident william mcdonald was suspended pending further investigation stuart carson was on site o friday morning at 0800amfriday the 20st of january two thousand and seventeen to commence the investigation see detailed description,0,1
work perform in the polymerisation unit without a gas monitor incident 36487a third party safety inspection was conducted on a wood mechanical work crew who were bolting flanges in preparation for a hydrotest located within the polymerisation unit during the inspection it was identified that the work crew performing the cold work did not have a gas monitor which was a permit condition requirement the planned scope of work did not involve hot work and a field check by operations confirmed no hydrocarbon leaks present in the area in the past the poly field operations team have permitted similar tasks have been performed without a gas monitor nonwood work crews working nearby had gas monitors see detailed description,0,1
caught in running equipment or machinery during regular operation an employee was resizing parts in a press machine and amputated the finger print portion of his left middle finger lockouttagout controls were not in place at the time of the incident,0,1
exposure to traffic while groundwater sampling exposure to traffic while groundwater sampling while adequate traffic controls are not in place heart entered,0,1
small sky jack scissor lift slide off and tipped over from telehandler forks while being transported to work area subcontractor early was transporting rental equipment small sky jack sj16 scissor lift as a favor to another subcontractor sauer telehandler operator picked equipment sideways set it on top of the forks and proceeded to drive around project east road wo tiedowns when they got to the south road he had it raised two off road elevation and the scissor just slide off the forks to the left and tipped over from what it was observed the forks and the lift itself looked moisty due to the morning mist and humidity no change in elevation on the road was observed spotter was not in the line of fire and no one was walking down the road the actual severity of the incident is a1 since no one was in the line of fire and the equipment controls were tested and no visual damage was noted the potential of the incident is a1 since rental company was called out of abundant of precaution to conduct an inspection on the equipment but the probability of damage is not expected equipment was tagged out of service after picking it and securing it with tiedowns to finish transporting to concrete pad outside bldg wood safety rep was near and notified wood about the incident crew stopped worked and wood safety rep remained in the area until equipment was strap down set over concrete pad and tagged out of service until inspection is completed by rental company mechanic investigation is being conducted,0,1
breach of works authorisation at the secondary sedimentation tank twenty-four sst twenty-four on tuesday nine february two thousand and twenty-one at approximately two 30pm lrc technicians finished cleaning out sludge that had inundated sst four from aeration tanks five six ref cairs20210534 this work was done under permit after finishing cleaning sst four the technicians moved to sst twenty-four which had also been inundated to prepare for the following day scheduled work as part of the preparation the technicians set up hoses from outside of the tank to dilute the sludge to enable easier removal however found that it was not draining effectively the technicians then entered sst twenty-four to dislodge buildup around the drain to allow the sludge to pass entering sst twenty-four was done without signing onto a work permit or obtaining authorisation from the client the situation was observed by representatives of the client who called the technicians out of the tank client discussed the issue with the technicians which was then reported to line management sst twenty-four was made safe and works ceased when the technicians exited the tank investigation commenced immediately,0,1
dot violation driver cited for being overweight wood dot driver was hauling a load of roadbase gravel in a 10yd dump truck traveling east on i90 and was stopped by the wyoming highway patrol for appearing to be overweight the load was heaped in the bed the patrolman had our driver proceed to a rest area where the surface was flat and he could safely perform a weight check the gvw of the dump truck was overweight the driver cited for being overweight driver was allowed to travel on the gravel county road to his destination and dump the load of roadbase,0,1
excavator operator swung into a swivel dump truck through the course of the day an excavator was located inside an exclusion zone working on a culvert for basin thirty-five the excavator operator was loading soil onto a swivel dump truck in order to be hauled at about 3pm the swivel dump truck parked in proximity to the excavator during this time the excavator operator attempted to locate the swivel dump truck by swinging the excavator to the left causing the counterweight to make contact with the swivel dump truck stairs and wheel well incident is still under investigation operators are to complete a three hundred and sixty walk around in order to check clearance of counterweight prior of any movement unless swing radius is barricaded,0,1
wood supervisor used a mobile phone in an ignition sources controlled environment without authorisation from the client wood supervisor used their mobile to take photographs whilst in the brine fields area of a client site without authorisation the brine fields is a dematch area of the site which incorporates mobile phones sources of ignition taken into these areas must first be notified to the sabic process teams to ensure there are no leaks or process upsets in the vicinity and additional controls put into place i e work control permit continual gas monitoring etc the client became of the breach to the safe systems when the wood supervisor showed a client representative the photo they had taken on that particular plant area initiated investigation to identify immediate underlying and root causes,0,1
whilst stepping out of the side of a works vehicle the ip stood on his own foot causing a sprai at the end of the working day a team member had just put his tools away in the side of his works vehicle then stepped down onto the ground standing on his right foot causing a strain no immediate action was needed,0,1
"crew performed a tandem lift without completing the required permit to work forms a crew of four four wood employees were working with client employees setting up a conveyor in quarry while in process of attaching a section of conveyor with counter weights attached weighing approx two thousand, five hundred lbs using two extendable boom forklifts to lift into place under direction of client personnel a wood superintendent came into area and while observing task found that crew did not have an adequate jsa for task or lift plan that adequately identified task being performed after equipment was secured work was stopped and investigation begun and situation corrected no injuries involved incident was reported as a near miss work was stopped to ensure proper jsa and lift plan usage was properly completed and followed a follow up safety stand down was held for all wood project personnel to cover proper jsa and use of lift plans for all future work and that all jsa usage and proper permits as required by company policy further investigation into incident is underway",0,1
an instrument airline was disconnected by two engineers outside of the boundary of the safety document isolations on the 15th january two thousand and nineteen it was identified that work on tg1 turbine extraction condenser tec level controller was underway outside of a specified isolation boundary an instrument airline was disconnected by two engineers outside of the boundary of the safety document isolations there were no actual safety consequences as the engineers had extended the isolation before the disconnection took place potential consequences are injury to persons from inappropriate actions outside the safety rules leading to exposure to system based danger the event was immediately reported to the sap and the plant was then made safe to comply with the safety rules the tec level controller replacement modification has now been completed,0,1
