description,label
A scaffold bay collapsed after being erected by an unqualified general operative without supervision.  The worked did not have the required certification or competency to erect the scaffolding. The scaffold structure collapsed when it was loaded with pallet of blocks by teleporter on Monday morning. The falling pallet block damaged a dumper vehicle parked at the side. No injuries were reported.,lack of competency
"A young and inexperienced site worker was using a circular saw to cut plywood on site on Friday morning. The saw had its protective latch/cover removed to speed up the cutting of the plywood on site. While cutting the boards, that platform that was being used collapsed on one side causing the worker to loose his balance and fall to the ground with the saw. The spinning disc of the saw caused a cut in the knee of the worker. The worker was treated with first aid before being transported to accident and emergency department of James's hospital for treatment. He received 20 stitches for the wound and was discharged home.",lack of competency
Worker collided with scaffold bay on the south side of the site while reversing a dumper truck in a tight space. The worker did not have the required competency or certification tickets to be driving the vehicle.,lack of competency
"Worker broke leg when he became partially trapped in a collapsed trench excavation. Site crew were digging sever trench on the south of the site (approximately 1.5 m deep) when one of the workers climbed down into the trench to inspect some water ingress. The trench was not shored or protected. After investigation, it was found that the site crew were inexperienced and were operating without oversight from a senior crew member. They were not supposed to dig the trench as deep as they did on the day but there was no toolbox talk held that morning (pre-task). Worker was brought to hospital by ambulance for treatment.",lack of competency
"Employee partially fell through rooflight while performing inspection scraping his ankle and leg.  The employee was not using the available fall arrest system while performing the  inspection. After investigation, it became clear that the employee had not received the correct training in how to recognise fall hazards and dangers or to properly use safety equipment. ",lack of competency
Employee overturned a dump truck while moving materials to south of the site. Employee injured his leg in the incident and was treated with first aid. He was sent to the hospital for x-ray but no significant damage to the leg is expected. The employee was not qualified to drive the dumper truck. His supervisor was not aware that the IP had taken the dumper without permission.,lack of competency
"Small-scale scaffold collapse on the north of the site, nobody injured, near-miss. On investigation it transpired that the scaffold had been erected by an unqualified team who did not have the required certification to erect the scaffold structure. ",lack of competency
"A last-minute site visit was requested for the project. An employee was sent to site without having the required induction or Site Safety training, as the dispatching office thought neither credentials were required due to being escorted by a Cat 5 safety watch. The deficiency was noted when the HSE department reviewed the Journey Management plan and noted the lack of required pre-access training. The site visit was cancelled and the employee left the site.",lack of competency
"An operator was caught offloading a manlift from a trailer on site without the required trained to use the equipment (no appropriate training card). We later received the training card.  Also, when questioned, the operator stated he did not think he needed a harness as he was not planning to work from the boom. He was just off loading it and going to park it on the ROW for later use by the crew.",lack of competency
"A subcontractor working under direct supervision, was performing survey duties along the proposed service route. While performing her duties, she climbed down into an open excavation. The excavation was new and still under construction, i.e., no benching/shoring had been installed in the location. Once she was spotted by workers in the area, she was asked to climb out of the excavation. The risk of working within that excavation without the required shoring had not been properly understood by the subcontractor. There was a clear lack of basic safety training and awareness. The issue will be taken up with the subcontractor management and HSE leadership team.",lack of competency
"Workers were moving materials by trailer and truck as part of the service metering project. While in transit the suspension of the trailer failed on one side, the load became unstable, shifted to one side and over turned the trailer. No injuries were sustained to the work crew. On investigation it was found that the suspension system on the trailer was designed for roadworks only and not suitable for the proposed off-road and heavy load transportation tasks. A visible pre-start check was completed on the day for the trailer and truck but it was not documented. This work was part of the minor works undertaken by the maintenance team. Training was provided for 4WD as per TNA but no training is currently required for trailers, in relation to hitching, pre-checks or load restraint.  No record found and not required under profile within contract training. Nonetheless the incident was a result of lack of competency and supervision on site. The workers involved were inexperienced and working without senior supervision.",lack of competency
"Employee was entering the south section of the site when he turned sharply off-track and drove over a free-standing conduit marker for an open land drain. The employee claims he did not see the marker and that he was in a hurry back from the storage yard with materials that were required from the day. The employee's driving was reckless and dangerous. His driving privileges on site have been revoked/suspended until he undergoes successful refresher (site driving) training and an eye test. Only minor damage to the marker was recorded, no injuries were sustained.",lack of competency
"A scaffold crew were dismantling a scaffold in the CAFS zone at the southeast corner of the LANS facility. The crew were under pressure to complete the work so as the next phase could commence. During the work, a transom accidently swung and hit off a break glass unit resulting in the Break Glass unit being activated. The crew were working too fast and dangerously, while under pressure. Due to this incident we have had a number of operational stand-downs with all employees to give 20-second 'step back' training.",lack of competency
