,text,pred,rule_book
1965,"post incident investigation reclassification approximately four thousand and fifty litres of morlina oil was spilled during decanting process see detailed description for updated information incident 38247on 21st june two thousand and eighteen at around eight hundred and thirty hours a wood general assistant ga was asked by a wood mechanical technician mt to set up a two hundred and five litre drum of morlina oil so that it could be decanted into smaller twenty litre containers at approx one thousand, one hundred and thirty hours the ga positioned the drum on top of five vertically stacked wooden pallets approx 75cm from the ground and searched for the mt to come and undertake the task by one thousand, four hundred hours and with the ga being unable to contact the mt the ga decided to carry out the task alone in doing so he began decanting the morlina oil utilising gravity by positioning and angling the drum so facilitating easier oil flow through a funnel into a smaller container when there was approximately four thousand and fifty litres of morlina oil left in the drum the ga discovered that the oil appeared too thick to continue draining with just gravity in an attempt to force the remaining oil out of the drum the ga decided to connect a pressurised airline to the drum using the plant air system which is accessed approximately fifteen yards from the chemical laydown yard plant air pressure is approximately seven barafter turning on the plant air the ga reentered the chemical laydown yard area and observed that the oil drum was visibly bulging he rushed back to turn off the air supply at which point there was a loud bang the lid of the drum parted from the main body of the drum causing the remaining four thousand and fifty litres of morlina oil to escape and be sprayed over the chemical laydown yard the 400g air hose assembly fitting was discovered to have broken off and ejected from the drum the incident occurred at approximately one thousand, five hundred hours with the ga not in the immediate vicinity at the time there were no injuries to personnel an observation card was completed citing this as an oil leak the ga immediately began spill response alone using sobo cleaner and a fire hose to wash the spilled oil into the recognised bunded area oil drains system on hearing the bang the on duty process supervisor and members of the operations team searched for the source of the noise upon finding the employee in the chemical laydown yard they were informed that the oil drum had rolled off the pallet this was broadly accepted as there were high winds present on the day and the process team had a sense of relief that this noise had not emanated from a process safety related incident on friday 22nd june the mechanical supervisor ms visited the chemical laydown yard where it became apparent that there was more to the reported incident than first communicated as there was visible evidence of morlina oil on the walls and surrounding units of the chemical laydown yard on monday 25th june the site hse advisor asked the ga for a full statement of the event at which point it was first mentioned that pressurised air had been used this update was communicated back to sir ian wood house where upon a terms of reference tor was developed and issued with a formal investigation initiated shortly afterwards see detailed description",0,1
2867,operator was performing excavations for new pump separator foundations in the process of performing such task operator struck a four fiberglass line with backhoe rear bucket causing damage to line incident 36335morning meeting took place bjsa were put in place crews broke off and bjsa were further reviewed individually and thoroughly by crews stop work authority was covered hazards were identified mitigations were reviewed along with last minute risk assessments and assurance of one call being in place backhoe operator and spotter proceeded to perform task previously reviewed in meetingbjsa which was excavating foundations for a new production separator hydrovac had been performed on all lines in immediate area all lines were exposed and all had a good view of all lines excavations was nearly complete and operator was performing some sloping as a final step on one of the excavations for easy accessegress this excavation was twenty-six x26 x26 deep spotter and 2nd crew member alerted operator to stop work as he was too close to the four fiberglass line line was on east side of excavation operator failed to stop excavation task spotter and 2nd crew member continued insisting and used swa but again operator failed to stop excavation task seconds later operator struck the low pressure four fiberglass line with backhoe rear bucket causing damage to line wateroil mixture was released from line low pressure line does not have constant fluids running through it this minimized the release oxy operations was notified they then shut the line in immediately line was repaired and completed by end of shift see detailed description,0,1
11403,whilst carrying out piling activity a hydraulic hose connection failed causing hyraulic oil to spray on to the adjacent building on the morning of monday 30th april at approx one thousand the hose fitting on to the upper 22m in height gearbox of the piling rig failed this caused a spray of fluid 3040ltrs to spray out to a distance of up to 60m and make contact with the neighbouring buildings exterior steel claddingit was very windy with lots of raindue to the wet weather it was not noticed until the following day the extent of the spread of fluid unfortunately the subcontractor did not notify the site management team about the incident due to them not knowing about the oil release breakdown was reported once informed the following day the afw site team reported it to the pc who airlined the incidentdawson wam stopped work carried out the required repair and checked the remaining fittings for further signs of leaks none were identifiedthe first stage of cleaning the neighbouring buildings cladding within the construction area has already begun with an assessment taking place for any other cleaning requirements outside of the construction area,0,1
534,"damaged plate compactor was discovered on the north side of the hill dividing construction and plant properties safety department was contacted to investigate a damaged plate compactor on the north side of the hill dividing plant and construction properties the compactor was apparently damaged by a metal tracked piece of mobile equipment judging by the damage and markings the damage caused the compactor fuel and oil to spill onto the ground the total amount not exceeding three gallons this incident appears to have ocurred within the previous two days judging by ground conditions and tracks in the area but was not discovered andor reported until twelve million, one hundred and eighty-two thousand and nineteen the damaged equipment was removed from the area and placed in a containment the contaminated soil was excavated and placed in a fifty-five gallon drum for proper disposal an investigation was launched and all civil operators and spotters were interviewed no employees were aware of the damaged equipment and all reported last seeing it in good condition the evening of twelve million, one hundred and sixty-two thousand and nineteen",0,1
24007,a boulder rolled off a spoil pile and in to an excavator causing damage and a hydraulic spill at approximately 930am an excavator operator was placing boulders in the trash pit by pcs19 when a boulder approximately three feet long two feet wide 150lbs rolled off the spoil pile he was removing them from and made contact with the excavator causing a hydraulic spill of less than a gallon and some damage to the right side of the equipment no personnel was in the area at the time the actual severity rating is an a1 because it was less that ten thousand worth of damage the potential severity rating is also an a1 because no more damage could have been done operator notified supervisor supervisor notified hse spill was contained and mitigated,0,1
22578,"there was a brake fluid leak on wood crane sixteen million, two hundred thousand and eighteen wood employee was mobilizing wood 20ton crane sixteen million, two hundred thousand and eighteen to location at b1614 upon arriving at designated location wood employee applied the brakes and felt pedal go to the floor the employee immediately applied parking brake to halt all forward motion and shut engine off operator asked the spotter if it was leaking spotter told him yes at this time operator started engine and carefully moved crane off the road so as to clear path on road actualpotential rating was based on minimal environmental impact wood employees moved crane off main road to safe area and applied oil absorbent pads to original leak location as well as off road location wood protocol was followed phone calls to wood hsse coordinator dow security block permit writer and wood supervision",0,1
3759,an oring in a quickconnect fitting used to attach a krystal gauge to the top of the well head blew out and caused oil to spill into the gulf of mexico incident 34370an oring in a quickconnect fitting used to attach a krystal gauge to the top of the well head blew out and caused oil to spill into the gulf of mexico see detailed description,0,1
21344,"shear attachment on mini x excavator damages hydraulic cylinder and tubing components crew was returning from lunch break when an employee noticed a slight leak of hydraulic fluid on mini x coming from cylindertubing line area after further evaluation of damaged area technician was called out it was determined cylinder had some scrapes and some broken bolts scrapes on cylinder are deep cylinder will need to be replaced it is believed damage occurred while tucking in shear attachment and also with vibration down the lease road technician did a temporary fix on mini x on friday four thousand, nine hundred and twenty-one mini x was being moved from point a to point b under some power lines in the process of doing so shear was tucked in causing damage to bolts and tubing area a second time actual a1 was selected because the actual damage is less than 10kpotential a1 was selected because the damage could not have exceeded 10k mini x has been tagged out and is no longer in service to assure further damage is not caused",0,1
79345,fall on same level due to slipping an employee was repairing a leaky extrusion press when the employee slipped on oil from the press on the floor and fractured the right leg,0,1
69153,caught in running equipment or machinery during maintenance cleaning an employee was attempting to fix a hydraulic leak in the stackergrader when the electric eye was activated the employee arm was then fractured and an artery was lacerated in the stackergrader the stackergrader was not locked or tagged out at the time of the incident,0,1
