,category,text,dset,scores
0,"hand or arm injury, slips & trips, knife incident",operator was unpacking received materials when he got a small cut in his left finger tip due to the use of a knife to cut a strip. he should rather have used a wire cutter. migrated from legacy cairs incident #34347operator was unpacking received materials when he got a small cut in his left finger tip due to the use of a knife to cut a strip. he should rather have used a wire cutter.incident is registered and followed up in wgn's hse system cis (id 10113781-hse-006)and in statoil's hse system synergy (id 1513135). migrated from legacy cairs - see detailed description,ORGP,2
1,"slips & trips, fall from or working at height issue","other fall to lower level, unspecified an employee fell from a ladder while performing roofing repairs, suffering fractures and lacerations.",OSHA,2
2,"near miss, hazardous materials or work","a element (wooden beam) supporting the formwork boards felt down to level 7 grade (5,7 mt. about).  at the level 7 of the building, by removing horizontal formworks under the slab of level 8, one element (wooden beam) supporting the formwork boards felt down to level 7 grade (5,7 mt. about). the mentioned beam, remaining at the edge of the formwork’s main supports as a part of the same structure under dismantling, moved by a the worker during the planned elements removal, felt down within the barricaded area. the areas involved for this work were fully barricaded to allow specifically these removal works and addressing the possible risks of material falling. neither people were exposed to material falling hazards (and relevant injuries) nor assets damages were ascertained. amecfw hsse manager was immediately notified about the near miss by lnw site manager and the work was immediately stopped.  amecfw hsse spv. started conducting the interviews to the involved workers and supervisor and, in parallel, assessing the situation of the area.",ORGP,1
3,"slips & trips, fall from or working at height issue",other fall to lower level 16 to 20 feet an employee fell approximately 18 feet from a ladder resulting in a left elbow fracture.,OSHA,2
4,covid,employee has been tested covid-19 positive employee has been tested covid-19 positive the employee has been working from home since march 2020. employee had symptoms of covid-19 and went for testing. the employee was found to be positive. the employee has been on home quarantine as per medical advise. employee has been tested covid-19 positive the employee has been working from home since march 2020. employee had symptoms of covid-19 and went for testing. the employee was found to be positive. the employee has been on home quarantine as per medical advise.,ORGP,1
5,"foot or leg injury, slips & trips",individual slipped as she came into the office individual slipped on floor box as she came into the office. she fell and twisted her right ankle individual reviewed and seated with leg raised - ice pack refusedfloor box checked to prevent any other incidents.  floor box was fine lid closed and level with carpet no trip hazard observed - picture takenindividuals shoes checked - they had no grip and very shiny bottoms that were a slip hazard - recommended alternative shoes for office  - individual accident report included as attachment,ORGP,1
6,hand or arm injury,"contact with objects and equipment, unspecified an employee was unhooking a float and crushed their right hand. the employee sustained an open fracture of the distal phalanx of one finger and a laceration to the middle finger.",OSHA,1
7,burns,minor burn to employees hand. employee’s hand contacted a hot portion of a generator during groundwater sampling.  employee suffered a minor burn (reportedly a ¼ inch blister that did not require a doctor visit).   applied first aid cream from first aid kit and continued working.,ORGP,1
8,covid,"wood employee tested positive for covid-19 a wood employee received a positive covid-19 test result on 12/02/2020. the ee was experiencing symptoms on 11/28/20 and scheduled a covid-19 test on 12/2/20 which was a positive result.  ee has not been in contact with any other wood employees.  contact tracing has been completed. wood ee has been in quarantine since november 28, 2020.",ORGP,1
9,"foot or leg injury, slips & trips","fall on same level, unspecified an employee fell while walking security rounds, suffering a knee injury and left-side numbness.",OSHA,1
10,slips & trips,"other fall to lower level less than 6 feet while walking in the parking garage of a jobsite, an employee fell from a step and suffered a broken hip, requiring hospitalization.",OSHA,1
11,"head or face injury, hand or arm injury","compressed or pinched by shifting objects or equipment a team on the rig floor was attempting to rig down a cement head with a manifold assembly from the rig floor down the slide to the ground below. a winch line was being used to lift the cement head off the rig floor to allow the team members to push the head to the slide. the head was pushed out beyond the slide, but the manifold caught on the rig floor and the head swung back toward the floor and struck the swing gate. an employee was holding the swing gate open with his right hand and was struck on the pinky finger. the distal interphalangeal joint was partially amputated.",OSHA,2
12,"hand or arm injury, dropped object or material","caught in running equipment or machinery during regular operation an employee was working at the production area on the dough forming line. the employee was waiting for the next batch of dough to be run and went to scrape the excess dough. the employee dropped his dough scraper into the hopper. while trying to get the scraper, his right hand was severely lacerated and crushed by the rotating star cutters.",OSHA,1
13,hand or arm injury,"struck against moving part of machinery or equipment an employee was attempting to clear scrap wood from a web saw's catch tray when the employee made contact with the saw blade, resulting in a right ring fingertip amputation.",OSHA,1
14,slips & trips,"other fall to lower level 6 to 10 feet an employee was dumping bags of dry phosphoric acid into a mixer from an elevated platform that was 8-feet, 9-inches high off the ground. a forklift had a pallet of the dry phosphoric acid.  the portion calls for 40 bags to be dumped. the pallet was airborne, not sitting on the platform.  the employee finished dumping the bags, turned to look for something, and fell between the pallet and the platform. the opening between the pallet and platform was 35 inches. the employee was unconscious and required hospitalization.",OSHA,1
15,"hand or arm injury, line of fire","caught in or compressed by equipment or objects, n.e.c. on or about october 8, 2015, at 1135 hours, a worker for hilmar cheese company was unhooking a hose from a truck that he thought had finished unloading heavy cream. the truck was still loading and the hose was under pressure. when the worker unhooked the hose, the valve slammed shut on his finger. the worker was taken to dalhart memorial hospital and later to bsa hospital in amarillo, where the distal phalanges of his right index finger were removed due to the extent of his injury.",OSHA,1
16,"general injury, back injury",report only- non work related incidentclient implementation contractor reported to medic with shoulder discomfort. migrated from legacy cairs incident #31948report only incident- non-work related involving ic contractor directly contracted to client on facility(woodside)wood group superintendent reported that one of the clients implementation contractors presented to the medic at 19.30pm on the 18th december with discomfort in his shoulder blade / back muscle. assessed by medic and provided some attention through massage to the area and gave the ic some paracetamol to relieve any discomfort.(muscle tenderness)ic was returned back to normal duties and will be monitored over the next couple of days.woodside medic only reported in medical records and not reported into first priority 6(fp6) migrated from legacy cairs - see detailed description,ORGP,1
17,hand or arm injury,"caught in running equipment or machinery during regular operation an employee was operating a combine to harvest soybeans when an access door became unlatched, exposing a rotating auger. as the employee attempted to re-latch the door, the rotating auger amputated the distal phalanx of the employee's third right finger.",OSHA,1
18,hand or arm injury,"compressed or pinched by shifting objects or equipment an employee was servicing the #128 rotary die cutter.  the machine was de-energized and locked out.  the employee was using a timing wrench to adjust a bar and belt in the machine.  as the employee was twisting the wrench, his finger got pinched between the bar and another part of the machine.  the twisting action combined with the pinch point caused the employee to suffer an avulsion to the thumb on his left hand.",OSHA,1
19,covid,wood employee tested positive to covid-19 the employee underwent swab which resulted positive to covid-19 employee is quarantined. a negative swab is required prior to returning to the office.no further action required,ORGP,1
20,"hand or arm injury, slips & trips","trip without fall, unspecified an employee was loading insulation into a blow machine when he tripped. as he tried to catch himself, his left thumb tip hit a gear and was amputated.",OSHA,1
21,line of fire,support tipped over on right foot. 2 workers on the laydown area was loosening the metal strips that hold the bundle supports. direct after loosening a 4 meter support tipped over on the right foot of one of the workers other was standing out the line of fire. he went to contractor clinic.,ORGP,3
22,"slips & trips, general injury","other fall to lower level 21 to 25 feet  an employee fell from the edge of the third floor of the building to the ground while unloading hvac fan coils from a forklift basket resulting in a dislocated shoulder, two broken ribs and a bruised lung. fall protection was not worn at the time.",OSHA,2
23,competency,"a subcontractor working under direct supervision, was performing survey duties along the proposed service route. while performing her duties, she climbed down into an open excavation. the excavation was new and still under construction, i.e., no benching/shoring had been installed in the location. once she was spotted by workers in the area, she was asked to climb out of the excavation. the risk of working within that excavation without the required shoring had not been properly understood by the subcontractor. there was a clear lack of basic safety training and awareness. the issue will be taken up with the subcontractor management and hse leadership team.",MANF,1
24,burns,contact with hot objects or substances an employee suffered first and second degree steam burns to the back while installing equipment at a customer's brewery.,OSHA,1
25,foot or leg injury,"allergic reaction to food a piping designer was leaving the organisation and arranged for samosas to be delivered to the office. the ip, another piping designer who joined wood recently, took an allegoric reaction to the smell of the food and left the premises after informing her co-worker. she drove herself to a pick up point and then proceeded to a&e. at a&e she became dizzy and fell over. the fall resulted in a small fracture to her left ankle. she returned to work the next day and informed her line manager (alan bradford, lead piping engineer) of what had happened to her. she has list of substances that she is allergic to however said she was embarrassed to discuss the issue. ip went to hospital and while waiting to be seen by a dr for the allergic reaction, felt dizzy and fainted. the ip was then taken to a bed and seen by a dr for the allergic reaction. once the ip had stabilized, was then seen by a second dr for the injury to the foot. the ip was discharged and returned to work the following day.",ORGP,1
26,covid,a massy wood employee tested positive for the covid-19 virus. a massy wood employee tested positive for the covid-19 virus. the employee was isolated.,ORGP,1
27,"head or face injury, slips & trips","struck by falling object or equipment, unspecified an employee was conducting well-servicing operations when a hammer union came apart and fell, striking and lacerating the employee's head.",OSHA,2
28,"vehicle incident general, site compliance or practice issue","employee was entering the south section of the site when he turned sharply off-track and drove over a free-standing conduit marker for an open land drain. the employee claims he did not see the marker and that he was in a hurry back from the storage yard with materials that were required from the day. the employee's driving was reckless and dangerous. his driving privileges on site have been revoked/suspended until he undergoes successful refresher (site driving) training and an eye test. only minor damage to the marker was recorded, no injuries were sustained.",MANF,1
29,eye injury or irritation,"foreign body to the left eye. the employee was riding in a buggy from the power block to olefins 1.  upon arriving at olefins 1, the driver of the buggy did a u-turn.  as he was turning, something flew into the employee's left eye from the side, he thought it was an insect.  the employee went to an eye wash unit and flushed his eyes.  after several attempts, he reported the injury to safety.  the safety manager flushed his eye and saw nothing but the employee said he could still feel something in his eye so he was taken off site for evaluation. ineos notified and the employee was taken off site for evaluation.  the off site facility did not find anything in the employee's eye.",ORGP,1
30,vehicle incident general,"a rock from the road came off the vehicles tire and contacted the drivers door window causing a crack and hairline fracture across the glass at approximately 10:30 am on july 27th, 2021, the foreman was in route off site driving a wood company truck, identification number 05x555, to fill up portable gas containers when he heard a noise from his driver side door window. once arrived at the gas station he noticed that the glass window had a crack and fracture coming from where he had heard the noise of what is believed to have been a rock that came off the vehicles tire. the actual severity rating of a1 was chosen due to damage being less than $10k. the potential severity rating of a1 was chosen as no employees were at risk of being injured, and no possibility of damage costing over $10k. the vehicle operator contacted site safety to report the incident. safety investigation protocols were initiated.",ORGP,1
31,hand or arm injury,"while ip was removing t-bar ceiling, sharp end made contact with right thumb at approximately 8:30am while the ip was removing t-bar from the ceiling of an interior office of the construction administration building, an end of the t-bar contacted the ip on the right thumb causing a minor laceration to the top of the thumb.  work on the t-bar was stopped and ip was taken to the project medical center.  investagation started.",ORGP,1
32,"head or face injury, slips & trips","fall on same level due to tripping over an object  an employee was backing up with scrap from a part when the back of his heel became caught on an air hose and he lost his balance. he fell backwards, landing on his back and hitting his head on the concrete floor.",OSHA,1
33,slips & trips,fall on same level due to slipping  a temporary employee was operating a lawn mower when they slipped on wet grass and their right foot contacted the mower. the employee sustained a laceration to three toes and was hospitalized.,OSHA,1
34,dropped object or material,"live end of glycol hose dropped to sea during 'post bunkering' hose storage activity. the unrestrained live end of the hose slid around on the saddle until the dry lock coupling passed over the saddle allowing it to fall to the sea below. the flexible hose is hard piped ('dead end') into the platforms piping system at one end. due to it's long length, the hose it is fitted with floatation devices which allow sections of it to float on the sea during general bunkering operations. the floating live end of the hose was recovered with assistance from the vessel.the live end of the hose dropped into the sea without making contact with any part of the platform. no personnel were endangered by this event. the wood lead dogman contacted his supervisor via the platform pa to inform him of the incident. the wood supervisor immediately notified the eapl oim and then both attended the scene.the vessel launched their fast rescue craft and attached a sling to the hose which was then transferred to the crane hook and the hose was retrieved and secured to main deck on the platform, around 17:00.",ORGP,1
35,covid,employee communicated a positive confirmation for covid-19  an employee reported a confirmed positive test for covid-19 to site management. the employee has been in isolation since october 14th. wood is identifying those who may have worked in proximity.  appropriate notifications have been completed. this is the second positive result for the 15th of october. ,ORGP,1
36,general illness or health issue,an employee felt dizzy and unwell and received assistance from a first aider. not work related. migrated from legacy cairs incident #31261an employee was suffering from persistent dizziness and a generalstrange head feeling around 10:30am.the employee'smanager (kevin golding) advised the hse advisor (jody sandilands) of this who requested for a first aider (andrew tebboth) to assess and assist the employee. the employeewas given a hot chocolate to ensure that it was not low blood sugar related and wasadvisedto lie down if the problem persisted until lunch and to go to a doctor if it persisted beyond that or re-occurred at a later date.the first aider checked on the employee several times throughout the day andconfirmed the employeehad recovered with no treatment being administered. the employee was still feeling a bit unwell the next day but returned to work and did not require any further assistance. the employee believes they may be coming down with a virus or bug and confirmed it is not work related. migrated from legacy cairs - see detailed description,ORGP,1
37,bites (animals or insects),"stings and venomous bites on october 9, 2018, an employee was stung by a wasp while sitting in a guard shack. the employee suffered an allergic reaction and was hospitalized.",OSHA,1
38,covid,employee was tested positive with covid-19. employee was tested positive with covid-19: employee had symptoms of covid-19. test results showed positive. employee is on self-isolation at home as per medical practitioner’s advice.  employee is on self-isolation at home as per medical practitioner’s advice. ,ORGP,1
39,"head or face injury, electric shock or issue, fall from or working at height issue","other fall to lower level 11 to 15 feet  an employee was on a ladder rewiring an electrical ballast in the ceiling when he received an electrical shock and fell 15 feet, hitting his head on the surface below.",OSHA,1
40,"foot or leg injury, slips & trips","fall on same level, n.e.c.  an employee was carrying plywood on the roof when the employee's self-retractable lanyard locked up. the employee lost balance and fell dislocating an ankle.",OSHA,1
