category,text,dset,scores
"slips & trips, foot or leg injury","fall on same level due to slipping  an employee was photographing underground utility marks while walking on the sidewalk when he slipped and fell on ice, fracturing his right leg.",OSHA,1
"hand or arm injury, general injury, head or face injury","mechanical fitter received a small laceration to his right cheek from a flying fragment off a steel drift used in realigning flanges at approximately 10.45 on tuesday 26th june a mechanical fitter was working on a flange located on the reboiler at an due to the bolts not realigning when lifted into place  a drift was required which is a solid steel bar and has a tapered end. on removal the ip held a mash hammer in his right hand and took it from his left shoulder to be able to hit the drift. the ip states the drift was being removed easily from the flange and didn’t require much force, after a few blows the ip felt a slight nick to his right cheek the ip immediately went and reported the incident. the ip reported the incident to his supervisor peter harkin and ineos employeethe supervisor follwed the correct reporting proceedure and dialled all the 2222 which alerted the shift manager and emergency servicesthe ip attended the medical centre where the area was checked for any forgeign body and was seen to be clean.the medical centre applied a plaster to keep the area clean and the ip returned to work.",ORGP,2
hand or arm injury,"struck against moving part of machinery or equipment an employee was working from home constructing an a-frame easel to be used at the store. he was operating a table saw, turned the saw off and reached for the cut piece of wood. the still moving blade severely lacerated his left index and middle fingers. he was hospitalized.",OSHA,1
covid,the worker received a positive test result for covid-19 while on pre-embarking preparation to whp-b. the worker received a positive test result for covid-19 while on pre-embarking preparation to whp-b. the ip is symptomatic. the worker has symptoms such as body pain and fever. the pi received guidance from the nursing technician regarding the necessary care and will be sent home for quarantine period.,ORGP,1
"back injury, general injury","electrician helper experienced lower back muscle spasm while coiling 4 conductor #2 cable on the ground, employee began to experience pain in his lower back. after an on-site pa examination, it was determined that the employee had a muscle spasm in his lower back. employee reported incident to his supervisor and was taken to the on-site pa where he was evaluated, treated, and released back to work without restrictions.",ORGP,1
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  an employee was attempting to unclog a heat shrink machine when the machine's blade amputated the employee's right middle fingertip.",OSHA,1
"fall from or working at height issue, foot or leg injury",fall from collapsing structure or equipment 6 to 10 feet an employee was installing structural steel. the beam the employee was sitting on dislodged and fell off the support it was on causing the employee to fall 10 feet. the employee was hospitalized with a leg laceration.,OSHA,1
hand or arm injury,"caught in running equipment or machinery during regular operation an employee was grinding a part when the grinding wheel caught the tip of his glove, pulling his finger into the grinder and resulting in a fingertip amputation.",OSHA,1
"fall from or working at height issue, lifting or moving loads, foot or leg injury","struck bump, hole, rough terrain on driving surface, nonroadway a landscaper was mowing the grass at a high school, using a stand-up riding mower. a hole, tree stump, or root caused the mower to bounce and his right foot was caught between the mower's deck and its discharge platform. he suffered a broken toe and was hospitalized.",OSHA,2
"general injury, slips & trips","fall on same level due to slipping  on march 1, 2018, at 2:30 p.m., an employee was entering the break room, which had a newly surfaced floor, when she slipped and fell, fracturing her hip and requiring hospitalization. her boots were wet at the time of the incident.",OSHA,1
head or face injury,"hitting, kicking, beating, shoving an employee was punched by another employee. he was hospitalized, suffering from a concussion and loss of teeth.",OSHA,1
"line strike, lifting or moving loads, competency","the boom of the site crane cam in contact with am overhead powerline while being relocated.  the correct details of the task were not recorded on job safety assessment (jsa). specifically, the planned travel path (waypoints) were not plotted/checked, and the route was not walked/validated by the team before moving the crane's location. the worker who was tasked with spotting responsibility, had no training for spotting/banks-man. several attempts, verbal and visual were made to stop crane from moving forward were ignored by the operator.",MANF,1
electric shock or issue,"small electric shock received from fuse box  observation of a building prior to demolition/ renovation. when visually inspecting the building for building substance and hazardous material. an already open fuse box was visually inspected for possible asbestos containing conductor boards from a thought safe distance. while around the fuse box the person experienced a small electric shock. how exactly contact with electricity occurred is uncertain/ cannot be reconstructed. the unsafe condition has been described and reported to the client to prevent further potential incidents.   alexander bartenstein was wearing full appropriate ppe including working cloths, safety boots and gloves. he could continue his work without delay. stated lost time was due to internal review of the situation.  on 22.08.2019 alexander bartenstein informed the project manager/ line manager annette littmann as well as the hse- coordinator alexander knacker about the incident. it was decided that for safety reasons a visit to the doctor (occupational physician and cardiologist) on the same day was appropriate where an electrocardiogram was carried out that showed no abnormalities. the instance has been discussed in detail with the doctor and the patient was assured that no further consequences are to be expected.  reported to project manager.  ip was seen by occ health physician, had ecg which showed no abnormalities",ORGP,1
"head or face injury, foot or leg injury","struck by dislodged flying object, particle an employee was standing near a winch system when the i-hook to the system broke and whipped around, fracturing the employee's right lower leg.",OSHA,2
"theft, head or face injury, lifting or moving loads","a skid steer operator, while moving parallel to a concrete wall started to turn to his right.  during this maneuver the skid steer’s left rear panel made contact with a piece of conduit attached to the concrete wall, causing damage to the conduit. migrated from legacy cairs incident #303654:10 pm – the crew was backfilling a ditch for the drains on the containment pad4:15 pm – the skid steer operator was moving out of the way of the track hoe to allow the track hoe to perform the final cleaning of the top of the ditch4:20 pm – the skid steer operator, while moving parallel to the wall started to turn to his right4:20 pm – the skid steer’s left rear panel made contact with a piece of conduit and broke the 90 degree piece of conduit4:25 pm – the crew contacted the superintendent about the incident4:30 pm – the superintendent contacted the hse department4:31 pm – the crew shut down operations until further instruction was received by management4:50 pm – the crew was shut down and sent home5:00 pm – the operator was taken down for a drug screen and passed both testsnotes:no employees were injured in this incidentthe skid steer was not damaged in this incidentradios were utilized during the operationsa “spotter” was watching the skid steer from the track hoe and did call on the radio for the skid steer to stop, but was too latea designated spotter was not assigned for that piece of equipment multiple crew members were on the ground but did not take the lead and become a designated spottera toolbox talk has been held in the past for spotting skid steer operations with two of the five crew membersthe operator had his own spa with a spotter as a control for hazards, but switched crews and did not sign on the new spa migrated from legacy cairs - see detailed description",ORGP,2
covid,worker tested positive for covid-19 worker who went for his second covid-19 test at the end of his quarantine period. result positive advise the worker to continue isolate from his family and wait for moh instructions.,ORGP,1
"general injury, fall from or working at height issue, vehicle incident general",struck by other falling powered vehicle an employee was putting a motorcycle on a lift when the bike missed the front wheel slot and fell on him. he suffered a hip contusion.,OSHA,2
"general injury, slips & trips","fall on same level, n.e.c.  an employee had just finished unloading a shipment of cardboard boxes.  the cardboard boxes were on pallets; the individual pallets and stacks of cardboard boxes were secured with banding straps.  the employee grabbed and pulled on a banding strap on one of the pallets to try and straighten the pallet by a few inches to align with the other pallets.  when the employee pulled on the banding strap, the strap broke and the employee fell to the floor.  the employee broke his left hip.  the employee was hospitalized for hip surgery.",OSHA,1
eye injury or irritation,a worker felt irritation in his left eye in the evening around 19:50pm a worker of altrad felt an irritation in his left eye.the worker presented was escorted to the contractor clinic where he received a first aid treatment and returned to work. worker informed his supervisor and went immediately to the contractor clinic accompanied by his hse adviser.dust particle removed fa treatment,ORGP,1
"fall from or working at height issue, vehicle incident general","pedestrian struck by forward-moving vehicle in nonroadway area an employee was struck and run over by the front left tire of a rough terrain forklift. the rough terrain forklift was carrying a load of logs, and the forklift operator was driving towards the scale.  the injured employee was hospitalized.",OSHA,2
"head or face injury, lifting or moving loads","struck against stationary object or equipment, n.e.c. an employee was riding in an elevator that ascended at a rapid pace when her head hit the ceiling. she was hospitalized with head injuries.",OSHA,2
hand or arm injury,"caught in running equipment or machinery during maintenance, cleaning  a temporary employee was preparing to clean excess sludge from a slow-rpm paper roller. the roller caught the employee's shift sleeve, pulling his left arm into the in running nip point and breaking bones in the arm.",OSHA,1
covid,individual tested positive for covid-19 individual tested positive for covid-19 after displaying symptoms. individual has not been to site in the 48 hours prior to the positive test. none,ORGP,1
"hand or arm injury, security or general safety concern, slips & trips","ip was pulling on a pipe wrench to loosen a check valve when wrench slipped and ips finger smashed between wrench and water line on june 16, 2019 at the stevens battery in raccoon bend, tx, ip and a coworker discovered a 2 inch check valve would not hold pressure on the water pump line. they shut the pump and bled the line pressure down using a needle valve. the coworker then attempted to break loose the 2 inch check valve for repair utilizing a 24 in pipe wrench. the check valve would not loosen, so ip stepped in to help break it loose. ip was pulling on the wrench while coworker was pushing. while doing so, the wrench slipped causing ip's left index finger to become caught between the wrench and the water flow line tubing. ip was taken to hospital and was diagnosed with a fractured left index finger. ip contacted supervisor of incident, supervisor advised ip to contact axiom. axiom advised ip to go to local hospital. account manager met ip at hospital. ",ORGP,2
slips & trips,"fall on same level due to slipping  an employee slipped and fell in an office hallway, landing on the tile floor, and suffering a broken kneecap.",OSHA,2
"confined space non-conformance or issue, site compliance or practice issue","no injury. lsr violation.  welder crawled 40’ into a new, 40’ joint of pipe where it connected to a smaller fitting to back weld.  no injury.  lsr violation.  at approximately 14:00 on october 16, 2019, the subcontractor’s fabrication crew was working in the se fab area in the cowboy station.  it was clear, sunny and dry.a welder was welding a reduced fitting onto the end of a 40’ joint of 30” pipe.  he felt he needed to back weld the inside of the weld and crawled 40’ into the pipe and began welding.  he had a fire watch who he was verbally communicating with.  this violated the wood pii life saving rule to obtain authority before entering a confined space.when the chief inspector saw what was happening, he stopped work and had the welder exit the pipe.  the subcontractors field safety, wood field safety and wood inspection were not aware the welder planned to enter the cs.  the site does have a cs policy and procedure to enter pipe and backfill a weld.  none of the steps in the procedure were followed. when the chief inspector saw what was happening, he stopped work and had the welder exit the pipe.  the subcontractors field safety, wood field safety and wood inspection were not aware the welder planned to enter the cs.  an investigation is ongoing.",ORGP,1
"vehicle incident general, vehicle Incident involving animal, lifting or moving loads",wgpacs employee was driving on highway when a deer emerged from the left side of the road and struck wgpacs vehicle along the driver side door and caused damage to the front headlight. migrated from legacy cairs incident #31516wgpacs employee was driving on highway when a deer emerged from the left side of the road and struck wgpacs vehicle along the driver side door and caused damage to the front headlight. there were no injuries. migrated from legacy cairs - see detailed description,ORGP,2
hand or arm injury,caught in running equipment or machinery during regular operation an employee was in training to use a metal stamp machine when his left hand got caught in the machine crushing the left ring finger.,OSHA,1
covid,ip tested +ve for covid-19 ip tested +ve for covid-19 line manager in contact,ORGP,1
hand or arm injury,injured by slipping or swinging object held by injured worker an employee was performing preventative maintenance on the control panel for a piece of equipment. the employee was using a spring loaded manual hand tool to cut a wire when the blade of the tool partially amputated his left thumb tip.,OSHA,1
covid,a vancouver employee tested positive for covid-19 an employee tested positive for covid 19. no workplace exposure.  the case was reported to hsse and p&o dept. ,ORGP,1
hand or arm injury,struck against moving part of machinery or equipment an employee suffered a left thumb tip amputation while operating a band saw. cut-resistant gloves were not worn at the time of the incident.,OSHA,1
back injury,"nwr - sudden onset of back pain after waking up a team member woke up in the morning to a sudden onset of back pain. this occurred on day 5 of pre-mobilisation isolation at bladin village in darwin. attended on-site medic and received otc anti-inflammatory, pain medication.advised on stretches that would alleviate the pain.",ORGP,1
